id_vuelo,aeropuerto_origen,aeropuerto_destino,hora_salida_programada,dia_semana,distancia_vuelo,condiciones_climaticas,congestion_aerea,tipo_avion,ocupacion_vuelo,temporada_alta,puerta_embarque,visibilidad,tiempo_estimado_vuelo
17555,BOG,PTY,16:30,Domingo,650,Nublado,Media,ATR 72,85.7,FALSE,25,13.7,76
20499,PEI,BOG,16:30,Martes,265,Despejado,Media,Airbus A320,97.9,TRUE,44,16.4,55
27060,CLO,MDE,19:15,Viernes,265,Niebla,Media,Embraer E190,90.3,TRUE,47,1.2,52
27929,MDE,JFK,22:15,Miércoles,3560,Despejado,Media,Airbus A350,48.3,FALSE,1,12,311
17086,CDG,GRU,16:15,Sábado,9400,Despejado,Media,Airbus A330,86.8,TRUE,48,27.4,740
24754,MDE,BGA,16:15,Domingo,295,Lluvia,Alta,Airbus A320,77.6,FALSE,43,7.2,61
14520,GRU,MEX,08:00,Sábado,7300,Niebla,Media,Boeing 777,96.3,TRUE,28,1,583
13025,BOG,PTY,08:15,Viernes,650,Niebla,Media,ATR 72,80.4,FALSE,38,1.4,70
22122,GIG,GRU,14:15,Martes,360,Tormenta,Media,Embraer E190,84.1,FALSE,39,3.8,57
28495,PEI,MDE,21:15,Miércoles,140,Despejado,Media,ATR 72,69.5,FALSE,47,20.3,31
15484,BGA,BOG,09:00,Lunes,310,Tormenta,Alta,Embraer E190,64.9,FALSE,23,3,43
11420,BOG,MEX,07:00,Martes,2700,Despejado,Baja,Embraer E195,48.9,FALSE,1,25.7,226
16210,BOG,CTG,07:15,Lunes,135,Despejado,Alta,Airbus A320,97.2,TRUE,38,8,35
20743,GRU,JFK,13:30,Martes,7680,Nublado,Baja,Boeing 787,94.6,TRUE,9,12,624
26144,EZE,SCL,16:00,Sábado,1140,Niebla,Alta,Boeing 757,51.1,FALSE,43,0.7,109
27618,ASU,EZE,13:00,Jueves,1050,Nublado,Alta,Embraer E195,93.5,TRUE,6,22.6,117
24569,EZE,ROS,03:45,Miércoles,295,Despejado,Baja,ATR 72,55.8,TRUE,19,12.8,55
10981,MIA,GRU,10:45,Jueves,7520,Nublado,Baja,Airbus A350,67.9,TRUE,27,28.8,613
12784,GRU,GIG,08:15,Viernes,360,Nublado,Media,Airbus A320,71.8,TRUE,43,20.8,67
17714,MDE,UIO,12:30,Viernes,960,Despejado,Baja,Airbus A320neo,70.2,TRUE,11,24.6,106
21519,GRU,MEX,15:15,Martes,7300,Despejado,Media,Boeing 777,90,TRUE,16,26.1,584
18601,GIG,GRU,14:45,Miércoles,360,Lluvia,Baja,Airbus A320,91.5,FALSE,19,18.1,51
21641,MDE,BAQ,13:45,Viernes,310,Despejado,Media,Airbus A320,74.9,FALSE,23,16.5,62
28831,BOG,CLO,10:15,Miércoles,300,Nublado,Media,Embraer E190,77.5,FALSE,10,28.5,61
22563,EZE,CCS,12:30,Domingo,4300,Despejado,Media,Boeing 777,80,TRUE,22,21,362
22752,CCS,PTY,14:45,Viernes,1010,Nublado,Baja,Boeing 737 MAX,84,TRUE,9,13.3,104
16385,PTY,LIM,06:30,Domingo,2970,Nublado,Alta,Embraer E195,74.9,FALSE,1,27.3,262
14808,MDE,BGA,08:30,Viernes,295,Nublado,Alta,Embraer E190,59.7,FALSE,14,7.3,57
16196,BOG,BAQ,07:15,Viernes,145,Nublado,Alta,Airbus A320,73.2,FALSE,3,21,57
20649,EZE,MAD,14:45,Viernes,10050,Despejado,Baja,Boeing 777,55.4,FALSE,8,9.2,775
17568,BAQ,MDE,18:45,Domingo,310,Despejado,Media,Airbus A320,74.9,TRUE,21,24.7,62
26398,MAD,EZE,00:45,Lunes,10050,Despejado,Alta,Boeing 787,69,FALSE,43,28.2,795
27525,BOG,MAD,20:15,Domingo,8680,Nublado,Alta,Airbus A330,89.3,FALSE,38,28.1,697
11347,CTG,MDE,08:15,Jueves,365,Nublado,Alta,Boeing 737,69.1,FALSE,35,7.3,67
23125,GRU,SSA,17:30,Lunes,1940,Despejado,Media,Boeing 737 MAX,52.9,TRUE,42,17.1,188
22674,EZE,GIG,16:45,Jueves,1970,Despejado,Media,Embraer E195,47.9,TRUE,39,26.5,187
25456,CTG,BOG,16:00,Jueves,135,Despejado,Media,ATR 72,49.8,FALSE,25,29.1,46
24002,PTY,MIA,22:45,Domingo,2200,Tormenta,Media,Airbus A320neo,84.9,FALSE,2,1.2,214
28622,GRU,POA,08:45,Sábado,1110,Despejado,Baja,Boeing 737 MAX,74.7,FALSE,30,24.3,109
12120,MDE,BGA,08:45,Lunes,295,Lluvia,Media,Airbus A320,91.1,FALSE,2,24.2,48
25305,BRC,EZE,00:30,Jueves,1650,Despejado,Alta,Boeing 757,81.7,FALSE,40,11.1,157
14310,NQN,EZE,09:15,Domingo,1150,Despejado,Baja,Boeing 757,76.5,TRUE,40,17.9,135
14485,CWB,GRU,07:30,Viernes,410,Despejado,Media,Embraer E190,82.9,FALSE,46,10,52
21014,MDE,CLO,14:15,Martes,265,Despejado,Media,Boeing 737,62.5,FALSE,38,25.7,65
14771,EZE,MIA,10:00,Lunes,7720,Despejado,Media,Airbus A350,96.7,FALSE,29,23.8,624
12713,FLN,GRU,06:30,Lunes,690,Despejado,Media,ATR 72,88.1,TRUE,5,21.6,75
22187,CLO,BOG,19:15,Viernes,300,Despejado,Media,Embraer E190,59.7,TRUE,11,15.8,71
26616,BAQ,BOG,15:15,Miércoles,145,Despejado,Baja,Embraer E190,72.4,FALSE,2,12.6,45
20948,UIO,BOG,13:30,Miércoles,730,Despejado,Media,Boeing 737,70.4,FALSE,5,7.3,76
12546,MDE,PTY,06:00,Martes,715,Lluvia,Alta,Boeing 737,59.4,FALSE,26,15.3,75
22620,SJO,PTY,12:15,Jueves,580,Nublado,Alta,Airbus A320,34.5,TRUE,15,9.2,77
19852,POA,GRU,15:00,Lunes,1110,Despejado,Baja,Boeing 737 MAX,86.7,FALSE,40,8.3,131
14411,EZE,PTY,08:45,Jueves,5100,Tormenta,Baja,Boeing 787,94.5,FALSE,40,0.9,405
29648,GRU,BOG,11:30,Miércoles,3940,Nublado,Baja,Airbus A350,67.2,FALSE,37,28.4,323
22345,GUA,PTY,14:45,Jueves,820,Despejado,Alta,Airbus A320neo,65.2,TRUE,29,12.1,87
22408,PTY,EZE,13:15,Miércoles,5100,Despejado,Media,Boeing 777,43.3,TRUE,27,14.1,417
19611,BOG,PTY,16:30,Domingo,650,Nublado,Alta,Boeing 737,60.8,TRUE,17,7.5,92
20719,GRU,LIM,15:30,Domingo,3620,Despejado,Media,Airbus A330,68.2,FALSE,36,28.6,309
17572,AEP,EZE,14:00,Jueves,35,Tormenta,Baja,Airbus A320,71.4,FALSE,22,3.4,24
13571,AEP,EZE,09:30,Domingo,35,Despejado,Alta,Embraer E190,65,TRUE,44,19,50
18603,BAQ,MDE,12:30,Sábado,310,Niebla,Baja,Boeing 737,46.3,FALSE,7,0.2,66
13560,MIA,BOG,08:15,Lunes,3160,Despejado,Media,Airbus A350,67.3,TRUE,4,15.3,275
14992,UIO,MDE,10:00,Viernes,960,Despejado,Baja,Embraer E195,62.7,TRUE,5,17.1,102
17440,EZE,LIM,19:45,Viernes,3150,Nublado,Alta,Boeing 787,87.7,FALSE,17,23.8,276
19326,MVD,EZE,12:45,Martes,210,Lluvia,Baja,Embraer E190,55.1,TRUE,8,12.9,55
12301,MVD,EZE,07:45,Lunes,210,Despejado,Alta,Boeing 737,62.3,TRUE,26,19.3,52
17667,COR,EZE,14:15,Domingo,695,Tormenta,Baja,Airbus A320,89.8,FALSE,36,3,100
15805,GRU,PTY,06:45,Domingo,4630,Despejado,Media,Airbus A330,56.4,FALSE,13,15.8,380
22023,AMS,GRU,16:00,Domingo,9850,Lluvia,Media,Boeing 787,64.9,FALSE,13,25.1,774
25538,JFK,MDE,16:00,Martes,3560,Despejado,Media,Boeing 787,92.6,FALSE,5,21.2,296
19758,BOG,CTG,15:45,Viernes,135,Despejado,Media,ATR 72,92.4,FALSE,40,27.4,57
22015,MDE,BOG,12:00,Martes,235,Nublado,Baja,Embraer E190,37.4,TRUE,17,8.4,64
15212,IGR,EZE,06:15,Viernes,1100,Nublado,Media,Boeing 737 MAX,69.5,FALSE,27,12.9,118
21549,PTY,EZE,10:45,Martes,5100,Despejado,Alta,Airbus A330,71,TRUE,17,28.2,428
22367,CCS,PTY,10:45,Domingo,1010,Despejado,Media,Embraer E195,51.6,TRUE,13,17.6,112
19271,GRU,JFK,17:00,Jueves,7680,Lluvia,Alta,Boeing 787,70.8,FALSE,6,19.6,603
13976,CLO,BOG,06:00,Viernes,300,Despejado,Media,Airbus A320,63.1,TRUE,28,8.4,69
26091,SCL,EZE,10:30,Jueves,1140,Nublado,Baja,Airbus A320neo,30.2,FALSE,21,21.1,105
27233,UIO,MDE,06:45,Viernes,960,Lluvia,Media,Boeing 737 MAX,56.3,FALSE,24,16.1,116
27444,BOG,MEX,20:15,Viernes,2700,Lluvia,Media,Embraer E195,86.7,TRUE,22,15.3,245
23657,ASU,EZE,15:45,Martes,1050,Lluvia,Alta,Boeing 757,71.4,TRUE,39,9.4,127
25646,POA,GRU,21:00,Sábado,1110,Lluvia,Media,Embraer E195,97.7,FALSE,16,9.7,126
12731,BRC,EZE,11:15,Lunes,1650,Lluvia,Baja,Boeing 737 MAX,70.6,FALSE,10,6.2,159
13299,MDE,LIM,08:30,Sábado,2100,Lluvia,Media,Boeing 757,85,FALSE,25,26.3,185
18957,MVD,EZE,16:45,Sábado,210,Lluvia,Alta,Airbus A320,77.1,FALSE,16,7.1,52
27411,POA,GRU,20:00,Miércoles,1110,Despejado,Media,Boeing 737 MAX,66.7,TRUE,13,14.7,116
25156,PTY,GUA,00:15,Jueves,820,Despejado,Baja,Boeing 757,47.5,TRUE,14,12.2,110
27277,BGA,MDE,06:30,Domingo,295,Nublado,Baja,Airbus A320,81.7,FALSE,28,22.2,45
16704,EZE,LIM,06:45,Miércoles,3150,Lluvia,Media,Airbus A350,63.7,FALSE,15,28.1,272
11969,MDE,BOG,08:00,Martes,235,Nublado,Media,Airbus A320,65.5,FALSE,39,24,54
14937,EZE,MDZ,07:15,Miércoles,1040,Tormenta,Alta,Boeing 737 MAX,50.1,FALSE,4,4.8,106
12113,MDE,CTG,08:00,Sábado,365,Despejado,Baja,ATR 72,87,FALSE,41,7.9,68
10879,BSB,GRU,09:15,Domingo,870,Nublado,Media,Airbus A320neo,76.6,FALSE,28,23.1,91
29076,PEI,MDE,16:00,Domingo,140,Despejado,Media,ATR 72,90.3,FALSE,8,20,49
22990,BGA,MDE,13:45,Sábado,295,Despejado,Media,Embraer E190,80.2,FALSE,47,18.4,57
17278,MIA,EZE,14:00,Miércoles,7720,Despejado,Media,Boeing 777,57.3,TRUE,1,8.5,603
15710,UIO,PTY,07:30,Lunes,1420,Despejado,Media,Boeing 757,63.6,TRUE,25,26.6,150
22079,NQN,EZE,15:15,Viernes,1150,Despejado,Media,Boeing 737 MAX,66,FALSE,1,21.8,129
16688,MDE,GRU,08:15,Lunes,4180,Lluvia,Alta,Boeing 787,64.2,TRUE,12,18,354
16419,PTY,GRU,07:00,Martes,4630,Lluvia,Media,Airbus A330,33.5,FALSE,34,13.5,385
20432,MDE,CLO,14:15,Lunes,265,Niebla,Media,Airbus A320,83.5,FALSE,39,2.8,42
19983,MIA,PTY,15:45,Domingo,2200,Nublado,Alta,Boeing 757,67.3,FALSE,25,20.8,214
29074,EZE,NQN,08:45,Martes,1150,Despejado,Baja,Embraer E195,78,FALSE,27,11.2,118
14630,SCL,EZE,08:15,Lunes,1140,Despejado,Media,Embraer E195,80,TRUE,28,21.3,124
18863,IAH,PTY,13:15,Martes,2860,Lluvia,Media,Airbus A320neo,65.7,TRUE,36,18.1,255
14668,BOG,CCS,08:15,Sábado,1010,Despejado,Alta,Embraer E195,59,TRUE,37,18.8,101
24164,BGA,BOG,08:00,Jueves,310,Nublado,Baja,Embraer E190,69.5,FALSE,24,13.4,55
10386,EZE,ROS,05:00,Sábado,295,Lluvia,Media,Airbus A320,66.8,FALSE,16,26.3,70
14187,GRU,POA,07:30,Miércoles,1110,Despejado,Alta,Embraer E195,71.8,TRUE,20,21.4,115
15346,EZE,BOG,08:00,Domingo,4650,Niebla,Media,Boeing 777,76.7,FALSE,7,1.4,390
12196,BOG,MAD,07:15,Domingo,8680,Despejado,Baja,Airbus A330,61,TRUE,38,14,671
24991,AEP,EZE,06:30,Martes,35,Despejado,Baja,ATR 72,70.7,FALSE,6,24.1,39
22635,GIG,EZE,15:00,Martes,1970,Despejado,Media,Embraer E195,56.9,FALSE,14,25.9,174
11078,EZE,UIO,09:45,Martes,3900,Despejado,Media,Boeing 777,75.8,TRUE,35,26.9,322
16287,FLN,GRU,05:45,Sábado,690,Niebla,Media,Airbus A320,98.9,TRUE,34,1.2,95
15934,ROS,EZE,09:15,Domingo,295,Nublado,Baja,Boeing 737,55,FALSE,25,29.1,63
28513,MIA,MDE,19:15,Domingo,2750,Lluvia,Baja,Embraer E195,56.6,FALSE,19,24.9,245
29718,PTY,MDE,11:45,Jueves,715,Despejado,Baja,Airbus A320,89.1,TRUE,37,10.9,98
23364,GIG,GRU,16:30,Viernes,360,Nublado,Baja,Airbus A320,91.4,FALSE,18,20.9,69
18073,CLO,BOG,15:45,Miércoles,300,Lluvia,Baja,Embraer E190,88.5,TRUE,18,19.5,68
27021,EZE,AEP,10:45,Jueves,35,Nublado,Media,ATR 72,87.2,TRUE,1,28.9,45
19544,COR,EZE,13:00,Lunes,695,Despejado,Alta,ATR 72,67.5,FALSE,45,7.6,88
29095,AEP,EZE,04:45,Martes,35,Despejado,Media,Embraer E190,88,TRUE,48,9.1,24
23356,GRU,CWB,14:30,Viernes,410,Despejado,Baja,Boeing 737,68.5,FALSE,9,17,74
28632,AEP,EZE,18:00,Lunes,35,Nublado,Baja,Boeing 737,55.8,TRUE,17,15.4,22
12849,PTY,CCS,06:00,Viernes,1010,Despejado,Alta,Embraer E195,45,FALSE,38,28.5,114
22792,BOG,CLO,12:45,Viernes,300,Despejado,Media,ATR 72,92.2,TRUE,4,23.8,66
17723,BOG,MIA,16:45,Jueves,3160,Despejado,Baja,Boeing 787,64.9,FALSE,1,14.7,276
10813,EZE,ROS,06:30,Lunes,295,Nublado,Media,Boeing 737,85.3,FALSE,30,8.5,49
21194,GRU,MVD,14:30,Martes,1550,Despejado,Media,Embraer E195,75.2,TRUE,48,6.6,145
15136,CCS,PTY,04:15,Viernes,1010,Nublado,Media,Embraer E195,58.5,TRUE,2,13.6,106
18511,JFK,MDE,15:00,Domingo,3560,Despejado,Media,Boeing 787,78.6,FALSE,33,27.4,310
17435,PTY,UIO,14:00,Miércoles,1420,Tormenta,Baja,Airbus A320neo,34.9,FALSE,29,1.3,142
26477,CLO,MDE,14:00,Miércoles,265,Tormenta,Baja,Boeing 737,89.2,TRUE,22,2.7,66
10937,MDE,BOG,08:30,Sábado,235,Nublado,Baja,Airbus A320,92,FALSE,14,19.4,53
21966,PTY,SJO,15:15,Viernes,580,Despejado,Baja,Boeing 737,47.8,TRUE,20,19,72
11693,EZE,MIA,07:15,Lunes,7720,Lluvia,Alta,Airbus A330,95.2,TRUE,35,20.7,605
16217,UIO,MDE,09:30,Jueves,960,Nublado,Baja,Airbus A320neo,60.6,FALSE,32,24.4,119
19460,EZE,MDZ,14:15,Jueves,1040,Despejado,Alta,Embraer E195,86,TRUE,13,17.2,99
22528,PTY,CLT,16:00,Martes,2890,Nublado,Media,Boeing 737 MAX,69.5,FALSE,1,13.4,258
25485,PTY,GRU,03:45,Martes,4630,Despejado,Media,Airbus A330,60.4,FALSE,28,20.7,394
15793,JFK,EZE,09:15,Martes,8530,Despejado,Baja,Boeing 777,62.7,TRUE,22,22.1,680
22267,BOG,PEI,12:45,Miércoles,265,Despejado,Baja,Boeing 737,66.2,FALSE,30,29.2,68
12222,GRU,BSB,09:00,Miércoles,870,Despejado,Media,Airbus A320neo,94.8,FALSE,36,17,112
25758,BOG,BAQ,21:00,Domingo,145,Lluvia,Baja,Boeing 737,85.2,FALSE,28,19.8,42
14694,JFK,PTY,10:45,Lunes,3520,Lluvia,Media,Airbus A350,17.2,FALSE,5,6,304
20109,BOG,PEI,15:00,Martes,265,Despejado,Alta,ATR 72,91,FALSE,9,11.5,51
15108,MDE,PEI,10:30,Viernes,140,Despejado,Media,Embraer E190,93.4,FALSE,24,26.1,39
23481,CTG,BOG,15:15,Viernes,135,Lluvia,Baja,Boeing 737,83.6,TRUE,40,12.8,46
14746,BOG,PTY,08:30,Miércoles,650,Lluvia,Baja,Airbus A320,61.2,FALSE,39,25.3,69
11605,MDE,PTY,07:30,Sábado,715,Nublado,Alta,Boeing 737,43.3,TRUE,1,14.2,77
27396,EZE,ASU,16:30,Viernes,1050,Despejado,Alta,Boeing 757,57.2,TRUE,7,23.3,127
26864,FLN,GRU,03:15,Lunes,690,Despejado,Media,ATR 72,62,TRUE,2,8.1,86
18214,SCL,EZE,13:30,Lunes,1140,Despejado,Alta,Boeing 737 MAX,58.3,FALSE,36,18.1,134
11093,EZE,ASU,09:00,Domingo,1050,Despejado,Media,Boeing 737 MAX,62.1,FALSE,37,29.7,123
23885,BOG,BAQ,14:15,Jueves,145,Nublado,Baja,Embraer E190,95.4,FALSE,16,18.1,37
16312,BOG,CTG,09:30,Miércoles,135,Lluvia,Baja,Airbus A320,72.1,TRUE,3,12.5,35
19013,PTY,GUA,16:15,Viernes,820,Despejado,Alta,Embraer E195,73.9,FALSE,13,23.2,103
10352,BGA,MDE,08:00,Domingo,295,Despejado,Media,Boeing 737,88.2,FALSE,47,11.2,59
24783,BOG,CLO,06:15,Miércoles,300,Niebla,Media,Boeing 737,65.9,FALSE,44,2,67
11531,GRU,EZE,09:30,Lunes,1760,Nublado,Alta,Boeing 757,80.7,FALSE,48,12.5,168
23592,BOG,BAQ,17:45,Jueves,145,Despejado,Baja,ATR 72,69.6,FALSE,35,14.5,45
25216,BAQ,BOG,02:30,Miércoles,145,Nublado,Media,Airbus A320,81.6,FALSE,29,27.1,56
21541,PTY,BOG,14:00,Domingo,650,Nublado,Alta,Airbus A320,74.2,FALSE,8,13.1,79
10219,MIA,MDE,07:15,Jueves,2750,Despejado,Baja,Airbus A320neo,86.5,FALSE,46,15.2,255
16814,BOG,MDE,06:45,Sábado,235,Nublado,Media,Boeing 737,89.3,FALSE,22,20.8,60
15358,MDE,CLO,07:00,Martes,265,Nublado,Media,Boeing 737,70.6,FALSE,35,14.2,60
25730,PTY,MEX,08:15,Viernes,2280,Nublado,Media,Embraer E195,69.9,FALSE,39,17.3,208
23044,MEX,PTY,15:30,Lunes,2280,Nublado,Alta,Boeing 757,62.4,FALSE,1,9.4,193
11454,FLN,GRU,06:45,Sábado,690,Despejado,Media,Embraer E190,76.3,TRUE,21,9.5,98
24933,GRU,PTY,19:15,Miércoles,4630,Lluvia,Media,Boeing 777,75.4,FALSE,36,7.2,379
14741,CCS,PTY,05:15,Lunes,1010,Nublado,Alta,Airbus A320neo,66.7,TRUE,25,15.4,106
12815,BOG,CTG,07:30,Miércoles,135,Despejado,Baja,Airbus A320,87,FALSE,14,26.2,43
17887,MDE,PEI,11:00,Viernes,140,Despejado,Media,Boeing 737,41.2,FALSE,45,7.5,44
14974,GIG,GRU,08:45,Martes,360,Tormenta,Baja,Boeing 737,84.5,FALSE,34,3.3,53
11183,EZE,LIM,08:30,Sábado,3150,Lluvia,Baja,Boeing 787,62.5,FALSE,30,5.7,259
20036,BOG,MEX,14:45,Lunes,2700,Nublado,Baja,Embraer E195,52.4,TRUE,4,14.8,247
13948,EZE,PTY,06:30,Domingo,5100,Nublado,Media,Boeing 787,62.6,FALSE,40,20.2,429
13190,BOG,CTG,08:00,Jueves,135,Lluvia,Media,ATR 72,74.8,TRUE,42,12.7,48
24481,GRU,FLN,00:45,Martes,690,Despejado,Baja,ATR 72,82.4,FALSE,42,8.4,86
29827,GRU,CWB,22:15,Martes,410,Lluvia,Media,Boeing 737,86.2,TRUE,5,13.3,79
19624,MVD,GRU,17:30,Viernes,1550,Nublado,Baja,Boeing 757,81.3,FALSE,38,13.7,141
11007,SSA,GRU,09:15,Viernes,1940,Nublado,Media,Boeing 737 MAX,76.8,FALSE,2,23.8,185
12326,PTY,GUA,09:00,Domingo,820,Despejado,Media,Boeing 757,65.3,FALSE,18,18.8,107
20646,MDE,CLO,16:45,Domingo,265,Tormenta,Alta,Embraer E190,78.9,FALSE,16,0.7,65
29524,MDE,LIM,01:30,Lunes,2100,Nublado,Media,Boeing 737 MAX,78,TRUE,21,7.1,188
27726,MIA,GRU,07:15,Sábado,7520,Niebla,Baja,Airbus A350,84.3,FALSE,26,2,585
15744,JFK,PTY,07:30,Viernes,3520,Nublado,Baja,Boeing 787,58.7,FALSE,33,15,286
22681,LIM,BOG,17:30,Martes,1890,Lluvia,Baja,Boeing 757,65.6,FALSE,17,9.9,184
