id_cliente,sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,gasto_acumulado_extra,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra,cluster
89.0,F,Rio Grande do Sul,63.0,Jubilado,5.0,Económica,1487.04,88.63,No,0.0,851.0,7.0,Aeropuerto,0
90.0,F,Buenos Aires,39.0,Ingeniero,5.0,Económica,1460.84,312.12,No,0.0,3279.0,75.0,Web,0
92.0,M,Córdoba,22.0,Empleado,23.0,Económica,4381.67,626.71,No,0.0,2063.0,36.0,Web,0
93.0,F,Buenos Aires,40.0,Médico,18.0,Ejecutiva,10086.38,2073.16,No,0.0,4424.0,26.0,Web,0
94.0,F,Mendoza,52.0,Profesional independiente,18.0,Ejecutiva,6133.39,1430.16,No,0.0,4407.0,6.0,Agencia,0
95.0,M,Los Santos,33.0,Comerciante,21.0,Económica,3576.1,761.09,No,0.0,1845.0,23.0,App,0
96.0,M,Santa Fe,50.0,Empleado,19.0,Económica,4981.01,1239.91,No,0.0,1162.0,18.0,App,0
97.0,M,Tolima,24.0,Profesional independiente,8.0,Económica,759.94,102.33,No,0.0,2018.0,13.0,Web,0
100.0,F,São Paulo,33.0,Ingeniero,4.0,Ejecutiva,1459.03,173.5,No,0.0,6123.0,15.0,Web,0
101.0,M,Misiones,45.0,Empleado,18.0,Económica,3870.83,390.57,No,0.0,1886.0,28.0,App,0
102.0,F,CABA,18.0,Empleado,4.0,Económica,1485.95,211.22,No,0.0,1514.0,0.0,App,0
103.0,M,Pernambuco,46.0,Empleado,5.0,Económica,1432.09,134.55,No,0.0,1191.0,10.0,App,0
104.0,M,Misiones,69.0,Jubilado,3.0,Económica,377.66,65.64,No,0.0,602.0,32.0,Aeropuerto,0
105.0,M,Santander,37.0,Arquitecto,10.0,Económica,1127.24,271.55,No,0.0,2917.0,9.0,Web,0
106.0,F,Buenos Aires,38.0,Ingeniero,8.0,Ejecutiva,2313.41,188.72,No,0.0,3805.0,0.0,App,0
107.0,M,Mendoza,40.0,Profesional independiente,15.0,Económica,3773.88,497.02,No,0.0,2408.0,72.0,Web,0
108.0,M,São Paulo,18.0,Estudiante,2.0,Económica,518.6,63.37,No,0.0,1117.0,49.0,App,0
109.0,M,Cundinamarca,43.0,Médico,13.0,Primera clase,23082.27,4835.86,No,0.0,7414.0,10.0,Web,0
110.0,F,Buenos Aires,18.0,Empleado,12.0,Económica,1177.51,85.51,No,0.0,1801.0,1.0,Web,0
111.0,M,Nariño,32.0,Médico,10.0,Ejecutiva,4567.77,673.45,No,0.0,4674.0,62.0,Web,0
112.0,F,Santander,52.0,Ingeniero,17.0,Ejecutiva,10322.93,1746.4,No,0.0,3218.0,6.0,App,0
115.0,F,Santander,50.0,Otro,21.0,Económica,3226.06,496.42,No,0.0,6089.0,8.0,Agencia,0
117.0,M,Chaco,21.0,Estudiante,7.0,Económica,1281.48,190.2,No,0.0,579.0,55.0,App,0
118.0,M,CABA,34.0,Contador,23.0,Ejecutiva,11090.68,1243.47,No,0.0,3818.0,14.0,Web,0
119.0,M,Atlántico,61.0,Ejecutivo,25.0,Primera clase,60521.91,10501.72,No,0.0,6179.0,11.0,Web,1
120.0,F,Buenos Aires,18.0,Estudiante,3.0,Económica,466.94,44.26,No,0.0,469.0,17.0,Agencia,0
122.0,F,Veraguas,31.0,Empleado,1.0,Económica,282.64,57.57,No,0.0,1940.0,16.0,App,0
125.0,M,Bolívar,57.0,Arquitecto,18.0,Ejecutiva,8479.91,1155.2,No,0.0,3630.0,3.0,Agencia,0
126.0,M,Santander,34.0,Ejecutivo,72.0,Económica,15525.48,2553.2,No,0.0,4553.0,1.0,Web,1
127.0,M,CABA,47.0,Profesional independiente,13.0,Ejecutiva,6426.1,978.66,No,0.0,4200.0,4.0,App,0
128.0,F,Santa Fe,43.0,Abogado,2.0,Ejecutiva,865.53,138.71,No,0.0,6073.0,18.0,Web,0
129.0,M,Buenos Aires,43.0,Ingeniero,1.0,Económica,291.66,15.4,No,0.0,3061.0,1.0,App,0
130.0,M,Cundinamarca,31.0,Profesional independiente,20.0,Económica,7426.65,1538.46,No,0.0,1770.0,16.0,App,0
132.0,M,Córdoba,24.0,Profesional independiente,2.0,Ejecutiva,1075.62,212.81,No,0.0,5083.0,14.0,Web,0
133.0,M,Atlántico,28.0,Médico,17.0,Ejecutiva,8847.57,1792.89,No,0.0,7285.0,41.0,Web,0
134.0,M,Misiones,41.0,Profesional independiente,20.0,Económica,5983.47,481.49,No,0.0,1772.0,45.0,Aeropuerto,0
136.0,M,Chaco,41.0,Deportista,77.0,Económica,24329.76,4820.64,No,0.0,1235.0,47.0,Web,1
137.0,F,Rio de Janeiro,31.0,Empleado,14.0,Económica,1797.04,388.29,No,0.0,778.0,14.0,Web,0
138.0,F,Los Santos,59.0,Profesional independiente,21.0,Económica,6919.43,1579.9,No,0.0,1814.0,40.0,Web,0
139.0,M,CABA,56.0,Ejecutivo,71.0,Ejecutiva,33055.92,3753.1,No,0.0,7745.0,0.0,Aeropuerto,1
140.0,M,CABA,33.0,Comerciante,3.0,Económica,724.39,67.05,No,0.0,2066.0,15.0,Web,0
141.0,F,Colón,28.0,Docente,2.0,Económica,341.79,17.25,No,0.0,759.0,26.0,Web,0
142.0,M,CABA,39.0,Empleado,4.0,Económica,620.87,66.62,No,0.0,1408.0,50.0,Agencia,0
143.0,M,Misiones,53.0,Empresario,40.0,Primera clase,47049.04,6333.05,No,0.0,10174.0,4.0,Agencia,1
145.0,F,Chaco,44.0,Empleado,1.0,Económica,345.54,61.72,No,0.0,1924.0,8.0,Agencia,0
146.0,F,CABA,35.0,Abogado,5.0,Ejecutiva,3110.48,561.08,No,0.0,4996.0,22.0,Web,0
147.0,F,Rio Grande do Sul,43.0,Empleado,12.0,Económica,4449.53,672.68,No,0.0,1270.0,10.0,Web,0
148.0,M,Buenos Aires,56.0,Empleado,23.0,Económica,4377.83,770.13,No,0.0,1551.0,6.0,Agencia,0
150.0,M,Santander,39.0,Abogado,6.0,Económica,807.44,33.15,No,0.0,2899.0,2.0,App,0
151.0,F,Santander,41.0,Docente,17.0,Económica,3827.96,544.16,No,0.0,1064.0,41.0,App,0
153.0,F,Cundinamarca,21.0,Estudiante,1.0,Económica,199.64,41.57,No,0.0,425.0,48.0,Web,0
154.0,F,Los Santos,18.0,Estudiante,3.0,Económica,680.21,101.25,No,0.0,748.0,17.0,Web,0
155.0,F,Valle del Cauca,25.0,Docente,15.0,Económica,1732.04,251.34,No,0.0,1837.0,15.0,App,0
156.0,M,Salta,40.0,Profesional independiente,11.0,Ejecutiva,5326.6,813.63,No,0.0,6670.0,1.0,Web,0
157.0,F,Bahia,44.0,Profesional independiente,13.0,Económica,2227.57,160.16,No,0.0,2165.0,3.0,Agencia,0
158.0,F,Atlántico,31.0,Docente,6.0,Económica,732.5,157.82,No,0.0,1046.0,23.0,Aeropuerto,0
159.0,F,Atlántico,54.0,Docente,18.0,Económica,4932.39,930.94,No,0.0,1308.0,16.0,App,0
160.0,M,Cundinamarca,36.0,Docente,11.0,Económica,2098.3,492.2,No,0.0,1342.0,1.0,App,0
161.0,F,Bolívar,38.0,Ingeniero,4.0,Económica,1402.14,130.35,No,0.0,6671.0,14.0,Web,0
163.0,M,Minas Gerais,39.0,Otro,19.0,Económica,3747.68,767.63,No,0.0,1481.0,16.0,App,0
164.0,M,Salta,46.0,Profesional independiente,7.0,Económica,1635.86,115.24,No,0.0,2028.0,4.0,Web,0
165.0,M,Entre Ríos,45.0,Contador,16.0,Económica,4499.4,285.35,No,0.0,3460.0,5.0,Web,0
166.0,F,Entre Ríos,27.0,Profesional independiente,19.0,Económica,3989.21,345.05,No,0.0,2737.0,13.0,Web,0
167.0,M,Chaco,56.0,Médico,25.0,Económica,2349.31,451.18,No,0.0,3443.0,0.0,Agencia,0
168.0,M,Mendoza,24.0,Médico,23.0,Ejecutiva,17436.06,2551.15,No,0.0,7234.0,2.0,App,0
169.0,M,Herrera,38.0,Docente,1.0,Económica,220.93,34.98,No,0.0,2177.0,52.0,Web,0
170.0,M,Valle del Cauca,34.0,Empleado,8.0,Económica,938.22,79.68,No,0.0,3803.0,12.0,Aeropuerto,0
173.0,F,Mendoza,29.0,Profesional independiente,3.0,Económica,763.78,108.79,No,0.0,2596.0,0.0,App,0
177.0,F,Misiones,41.0,Docente,1.0,Económica,102.32,15.14,No,0.0,1101.0,3.0,Web,0
178.0,M,Rio Grande do Sul,30.0,Otro,22.0,Económica,6482.28,955.18,No,0.0,1911.0,17.0,Agencia,0
179.0,F,Santa Fe,33.0,Ingeniero,6.0,Ejecutiva,3468.98,514.79,No,0.0,7321.0,4.0,Web,0
180.0,M,Entre Ríos,39.0,Empleado,22.0,Económica,3629.36,667.41,No,0.0,1911.0,28.0,Web,0
181.0,F,Valle del Cauca,39.0,Ingeniero,10.0,Ejecutiva,3456.53,424.66,No,0.0,4871.0,9.0,Web,0
182.0,F,Paraná,55.0,Otro,21.0,Económica,4263.0,885.78,No,0.0,3061.0,0.0,Web,0
183.0,M,CABA,54.0,Arquitecto,10.0,Económica,2921.95,347.23,No,0.0,2756.0,2.0,Web,0
184.0,F,Misiones,33.0,Profesional independiente,4.0,Económica,1258.48,169.69,No,0.0,2160.0,5.0,Agencia,0
185.0,F,Rio de Janeiro,31.0,Comerciante,19.0,Económica,1701.15,225.87,No,0.0,994.0,7.0,App,0
186.0,M,Salta,18.0,Estudiante,4.0,Económica,827.98,181.3,No,0.0,300.0,8.0,Agencia,0
187.0,M,Minas Gerais,31.0,Abogado,5.0,Ejecutiva,3942.72,404.02,No,0.0,7155.0,15.0,Web,0
189.0,M,Bolívar,33.0,Empleado,17.0,Económica,2575.99,194.9,No,0.0,1263.0,4.0,Agencia,0
190.0,F,Tucumán,42.0,Empleado,6.0,Económica,1418.77,159.33,No,0.0,1517.0,19.0,Web,0
191.0,M,Tolima,40.0,Ejecutivo,36.0,Económica,11608.39,837.47,No,0.0,2171.0,11.0,Web,0
192.0,M,Misiones,37.0,Docente,1.0,Económica,109.8,23.15,No,0.0,1974.0,17.0,Agencia,0
193.0,F,Chaco,40.0,Empleado,18.0,Económica,2564.73,194.14,No,0.0,1576.0,4.0,Web,0
194.0,M,Salta,36.0,Docente,22.0,Económica,6730.6,1329.55,No,0.0,1530.0,83.0,App,0
196.0,F,Los Santos,18.0,Estudiante,2.0,Económica,180.0,30.61,No,0.0,364.0,4.0,Agencia,0
197.0,F,Chaco,34.0,Profesional independiente,24.0,Económica,6212.13,1403.51,No,0.0,1707.0,15.0,Web,0
198.0,M,São Paulo,36.0,Ingeniero,5.0,Económica,1877.3,286.29,No,0.0,3629.0,13.0,Agencia,0
199.0,F,Tolima,33.0,Empleado,18.0,Económica,1974.05,326.01,No,0.0,2683.0,24.0,Web,0
200.0,M,Misiones,35.0,Comerciante,21.0,Económica,5118.34,1038.34,No,0.0,3030.0,16.0,Web,0
202.0,M,Santa Fe,30.0,Docente,24.0,Económica,2459.84,143.92,No,0.0,989.0,3.0,App,0
203.0,M,Pernambuco,64.0,Comerciante,5.0,Económica,1144.41,65.69,No,0.0,2618.0,12.0,App,0
204.0,M,Misiones,46.0,Deportista,62.0,Ejecutiva,18694.4,3831.14,No,0.0,7603.0,47.0,Web,1
205.0,M,Minas Gerais,37.0,Empleado,6.0,Económica,1333.35,214.29,No,0.0,1641.0,47.0,App,0
207.0,M,Mendoza,36.0,Profesional independiente,1.0,Ejecutiva,717.85,155.29,No,0.0,6540.0,19.0,App,0
208.0,F,CABA,27.0,Profesional independiente,6.0,Económica,1629.84,131.91,No,0.0,2972.0,32.0,App,0
209.0,M,Misiones,36.0,Docente,23.0,Económica,7013.46,816.95,No,0.0,1977.0,1.0,App,0
210.0,M,Entre Ríos,41.0,Empleado,7.0,Económica,1591.28,354.21,No,0.0,1859.0,14.0,App,0
214.0,F,Cundinamarca,21.0,Otro,13.0,Económica,4150.23,922.38,No,0.0,1605.0,40.0,Agencia,0
215.0,F,Atlántico,29.0,Ejecutivo,53.0,Económica,7296.75,1501.51,No,0.0,6879.0,10.0,Web,0
217.0,M,Misiones,48.0,Docente,23.0,Ejecutiva,15222.22,3677.8,No,0.0,1477.0,33.0,Aeropuerto,0
218.0,F,Chiriquí,42.0,Empresario,37.0,Ejecutiva,12969.8,3106.24,No,0.0,3924.0,8.0,Agencia,0
219.0,F,Chaco,28.0,Profesional independiente,12.0,Económica,2042.74,343.54,No,0.0,2319.0,5.0,App,0
220.0,M,Entre Ríos,38.0,Arquitecto,2.0,Ejecutiva,592.61,64.19,No,0.0,5230.0,18.0,Aeropuerto,0
221.0,M,Pernambuco,22.0,Estudiante,3.0,Económica,857.95,51.26,No,0.0,580.0,23.0,Web,0
222.0,F,Panamá,31.0,Empleado,3.0,Económica,811.99,101.76,No,0.0,2478.0,51.0,App,0
223.0,F,Chiriquí,35.0,Empresario,50.0,Ejecutiva,25885.32,3301.7,No,0.0,13053.0,1.0,Web,1
225.0,F,Mendoza,49.0,Docente,15.0,Económica,3090.28,314.74,No,0.0,1113.0,10.0,App,0
226.0,M,Salta,20.0,Empleado,20.0,Ejecutiva,13572.57,580.59,No,0.0,1568.0,22.0,Web,0
227.0,F,Minas Gerais,27.0,Empresario,39.0,Económica,10963.0,1940.5,No,0.0,7051.0,3.0,App,0
228.0,M,Paraná,21.0,Empleado,13.0,Económica,1982.55,91.08,No,0.0,719.0,34.0,Aeropuerto,0
229.0,F,Los Santos,23.0,Otro,17.0,Económica,2123.08,485.69,No,0.0,3103.0,26.0,Web,0
230.0,M,Nariño,39.0,Ingeniero,6.0,Económica,1192.11,128.35,No,0.0,3997.0,18.0,Web,0
231.0,M,Córdoba,18.0,Estudiante,2.0,Económica,300.2,46.09,No,0.0,552.0,57.0,App,0
232.0,F,Pernambuco,47.0,Contador,9.0,Ejecutiva,4118.65,328.23,No,0.0,3756.0,3.0,App,0
233.0,M,São Paulo,35.0,Ejecutivo,20.0,Económica,6111.52,589.66,No,0.0,2570.0,23.0,App,0
234.0,F,Santander,38.0,Otro,8.0,Económica,2087.1,457.19,No,0.0,1505.0,2.0,Aeropuerto,0
236.0,M,Tucumán,32.0,Comerciante,14.0,Primera clase,20179.08,2261.99,No,0.0,7056.0,13.0,Aeropuerto,0
238.0,F,Bolívar,35.0,Deportista,99.0,Ejecutiva,44244.08,7476.8,No,0.0,9961.0,6.0,Web,1
239.0,F,Tolima,45.0,Ingeniero,12.0,Económica,2965.01,717.78,No,0.0,3099.0,10.0,Web,0
241.0,M,Atlántico,41.0,Ingeniero,11.0,Económica,2010.16,478.83,No,0.0,2976.0,2.0,Web,0
242.0,M,Valle del Cauca,41.0,Ejecutivo,41.0,Primera clase,43640.89,4949.67,No,0.0,7163.0,19.0,Web,1
243.0,F,Paraná,40.0,Empresario,41.0,Ejecutiva,15943.36,3138.33,No,0.0,14237.0,9.0,Web,1
244.0,F,Valle del Cauca,26.0,Docente,21.0,Económica,7071.05,497.11,No,0.0,1835.0,42.0,Web,0
245.0,F,Rio de Janeiro,43.0,Empleado,14.0,Económica,1854.3,207.3,No,0.0,1789.0,19.0,Agencia,0
246.0,F,Pernambuco,34.0,Empleado,14.0,Económica,2863.13,532.07,No,0.0,801.0,4.0,App,0
248.0,M,Santa Fe,18.0,Estudiante,2.0,Económica,763.9,107.61,No,0.0,427.0,19.0,App,0
249.0,F,Los Santos,20.0,Estudiante,3.0,Económica,254.13,10.31,No,0.0,369.0,24.0,Web,0
251.0,F,Herrera,60.0,Comerciante,1.0,Económica,150.2,10.4,No,0.0,2754.0,17.0,Agencia,0
253.0,M,Bolívar,29.0,Docente,21.0,Ejecutiva,7931.17,710.58,No,0.0,1030.0,33.0,App,0
254.0,F,Panamá,18.0,Empleado,5.0,Ejecutiva,1797.85,449.05,No,0.0,890.0,4.0,Web,0
256.0,M,Santander,37.0,Profesional independiente,7.0,Ejecutiva,2684.84,422.32,No,0.0,5420.0,30.0,Web,0
257.0,F,Misiones,45.0,Otro,16.0,Económica,3753.67,159.35,No,0.0,1250.0,4.0,Web,0
258.0,M,Córdoba,39.0,Empresario,44.0,Económica,14904.58,744.66,No,0.0,4320.0,27.0,App,0
259.0,F,Tolima,38.0,Empleado,4.0,Económica,1267.17,277.39,No,0.0,1191.0,35.0,Web,0
260.0,M,Salta,73.0,Comerciante,8.0,Económica,994.05,125.1,No,0.0,692.0,31.0,Web,0
261.0,F,Minas Gerais,37.0,Contador,8.0,Económica,1591.39,171.88,No,0.0,2906.0,31.0,Web,0
263.0,F,Minas Gerais,36.0,Ejecutivo,30.0,Ejecutiva,10942.72,2634.75,No,0.0,6666.0,1.0,Web,0
264.0,F,Chiriquí,30.0,Contador,17.0,Económica,3825.65,695.55,No,0.0,3126.0,19.0,Aeropuerto,0
265.0,M,Tolima,49.0,Otro,3.0,Económica,588.99,75.18,No,0.0,2199.0,12.0,App,0
266.0,M,CABA,33.0,Comerciante,2.0,Económica,375.0,55.68,No,0.0,949.0,3.0,Agencia,0
267.0,M,Salta,45.0,Otro,18.0,Económica,5647.8,1177.16,No,0.0,1446.0,44.0,App,0
268.0,M,Entre Ríos,41.0,Otro,11.0,Económica,2937.88,208.67,No,0.0,2398.0,9.0,Web,0
269.0,M,Bahia,52.0,Médico,19.0,Económica,4397.12,692.56,No,0.0,6805.0,6.0,Web,0
270.0,M,Mendoza,43.0,Empresario,37.0,Económica,9072.06,1070.83,No,0.0,4674.0,37.0,Aeropuerto,0
272.0,M,Cundinamarca,22.0,Estudiante,2.0,Económica,574.91,27.04,No,0.0,300.0,27.0,Web,0
273.0,F,Tucumán,54.0,Otro,16.0,Económica,2579.08,143.86,No,0.0,704.0,14.0,Agencia,0
274.0,M,Veraguas,30.0,Docente,1.0,Económica,209.6,31.86,No,0.0,1364.0,16.0,Web,0
275.0,F,Antioquia,22.0,Estudiante,1.0,Económica,201.55,49.66,No,0.0,300.0,79.0,App,0
276.0,M,Santa Fe,29.0,Médico,20.0,Ejecutiva,5256.18,1037.93,No,0.0,2420.0,8.0,Agencia,0
277.0,F,Bolívar,53.0,Empleado,12.0,Económica,1812.64,175.62,No,0.0,1206.0,19.0,App,0
278.0,M,Santander,20.0,Estudiante,7.0,Económica,2666.81,450.86,No,0.0,606.0,42.0,App,0
279.0,F,Herrera,27.0,Abogado,23.0,Económica,5748.41,286.52,No,0.0,5437.0,0.0,Web,0
280.0,M,Santa Fe,29.0,Profesional independiente,12.0,Económica,4026.73,641.9,No,0.0,1253.0,27.0,Aeropuerto,0
281.0,M,Rio de Janeiro,22.0,Estudiante,2.0,Económica,154.21,32.31,No,0.0,429.0,5.0,App,0
282.0,F,Los Santos,23.0,Estudiante,3.0,Económica,420.0,99.86,No,0.0,326.0,52.0,Aeropuerto,0
283.0,M,Buenos Aires,19.0,Estudiante,1.0,Económica,177.17,41.33,No,0.0,328.0,20.0,App,0
284.0,M,Veraguas,32.0,Profesional independiente,6.0,Económica,1987.08,148.07,No,0.0,1547.0,4.0,App,0
285.0,M,Colón,33.0,Ingeniero,4.0,Ejecutiva,2150.72,394.99,No,0.0,3621.0,2.0,Web,0
287.0,M,São Paulo,18.0,Estudiante,3.0,Económica,897.18,37.24,No,0.0,300.0,9.0,App,0
288.0,M,Paraná,53.0,Empresario,30.0,Ejecutiva,7883.53,745.74,No,0.0,3574.0,28.0,Aeropuerto,0
289.0,M,Mendoza,22.0,Estudiante,7.0,Económica,1568.49,343.54,No,0.0,423.0,35.0,App,0
290.0,F,Salta,41.0,Otro,8.0,Económica,2350.84,529.23,No,0.0,3101.0,45.0,App,0
294.0,F,Mendoza,27.0,Ejecutivo,61.0,Ejecutiva,28505.0,2319.05,No,0.0,5381.0,9.0,App,1
295.0,M,Buenos Aires,18.0,Estudiante,4.0,Económica,1170.33,186.23,No,0.0,479.0,13.0,Web,0
296.0,M,Bolívar,46.0,Otro,7.0,Económica,665.04,115.7,No,0.0,1180.0,3.0,Web,0
298.0,F,Chiriquí,42.0,Empresario,38.0,Ejecutiva,23899.85,3332.12,No,0.0,3655.0,14.0,Agencia,0
299.0,M,Cundinamarca,39.0,Deportista,42.0,Económica,7601.86,1665.25,No,0.0,2859.0,1.0,Agencia,0
