sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra
F,Minas Gerais,22,Otro,21,Económica,2176.83,No,0,1513,3,Web
F,CABA,30,Ingeniero,18,Económica,2180.32,No,0,3775,42,Web
F,Colón,48,Empleado,20,Económica,7644.36,No,0,3257,8,Web
M,Nariño,20,Estudiante,2,Económica,251.3,No,0,494,3,App
F,Paraná,36,Abogado,14,Ejecutiva,4183.1,No,0,7072,10,Agencia
F,Bolívar,27,Médico,26,Ejecutiva,10719.25,No,0,7005,4,Web
F,Buenos Aires,34,Otro,9,Ejecutiva,6131.32,Sí,19952,2800,70,Web
M,Chaco,18,Estudiante,4,Económica,997.93,No,0,596,33,Web
M,Mendoza,18,Empleado,18,Económica,3103.49,No,0,1452,36,App
F,Minas Gerais,49,Médico,19,Económica,2404.13,No,0,4119,33,Web
M,Santa Fe,35,Docente,24,Económica,5351.69,Sí,21250,789,7,Aeropuerto
M,Antioquia,46,Profesional independiente,10,Económica,1773.42,No,0,5734,25,Web
F,Tucumán,27,Profesional independiente,8,Ejecutiva,4640.04,No,0,1206,4,App
M,Paraná,41,Deportista,79,Económica,16785.48,No,0,300,10,App
F,Panamá,28,Médico,29,Económica,8185.24,Sí,22426,3287,9,Agencia
M,Chaco,18,Estudiante,7,Económica,980.37,No,0,537,23,App
M,Pernambuco,33,Empresario,51,Económica,15324.88,No,0,1787,17,Web
M,CABA,44,Empleado,20,Económica,3913.34,No,0,1115,26,App
M,Mendoza,42,Empleado,12,Económica,3025.56,Sí,10544,1296,46,App
F,Misiones,37,Médico,29,Ejecutiva,15760.45,No,0,7721,66,Agencia
F,Córdoba,66,Jubilado,1,Económica,336.97,No,0,665,1,Agencia
F,Valle del Cauca,42,Ejecutivo,31,Económica,5335.98,No,0,2645,0,Agencia
F,Entre Ríos,49,Contador,19,Económica,4252.47,Sí,8631,3037,2,Web
M,Paraná,64,Jubilado,4,Económica,814.8,Sí,2977,1423,6,App
F,Rio Grande do Sul,22,Estudiante,3,Económica,903.19,Sí,1268,300,16,Web
F,Santander,25,Otro,3,Económica,843.18,No,0,2099,11,Web
M,Panamá,58,Empleado,7,Ejecutiva,4105.45,No,0,848,2,Agencia
M,Córdoba,28,Ingeniero,4,Ejecutiva,1570.12,No,0,7496,10,Web
No binario,Tucumán,38,Empleado,18,Económica,2687.95,No,0,1583,5,Web
M,Atlántico,50,Otro,2,Económica,710.57,No,0,2158,72,App
F,Nariño,48,Empleado,24,Económica,4330.91,Sí,19184,598,4,Agencia
M,CABA,59,Empleado,8,Económica,1003.63,Sí,5025,767,72,App
M,Bolívar,55,Profesional independiente,13,Económica,3185.48,No,0,6493,5,App
F,Entre Ríos,50,Empresario,16,Económica,3721.98,No,0,3818,10,App
F,Los Santos,28,Médico,17,Económica,5859.79,No,0,3930,1,App
M,Atlántico,47,Contador,11,Ejecutiva,4752.24,Sí,18414,3770,88,Agencia
M,Veraguas,41,Empleado,7,Económica,1039.56,No,0,905,0,App
M,Chaco,22,Otro,10,Económica,1821.39,Sí,2985,2297,5,Aeropuerto
F,Misiones,47,Médico,27,Económica,3006.75,Sí,15694,5531,11,Agencia
M,Colón,38,Docente,24,Económica,4170.22,No,0,1288,28,Web
F,Valle del Cauca,35,Docente,20,Económica,2307.92,No,0,1391,4,App
F,Bahia,23,Estudiante,2,Ejecutiva,1112.59,No,0,300,21,App
M,Mendoza,43,Médico,14,Ejecutiva,8220.42,No,0,7129,11,App
M,Nariño,51,Ejecutivo,55,Económica,8126.26,Sí,31780,3792,6,App
M,São Paulo,24,Empleado,4,Económica,570.28,No,0,1688,121,Web
F,Buenos Aires,18,Estudiante,1,Económica,312.37,Sí,890,410,5,App
M,Cundinamarca,33,Médico,5,Económica,1037.73,No,0,5861,5,Web
F,Los Santos,36,Empleado,18,Económica,2760.17,No,0,2559,4,App
M,Paraná,27,Ejecutivo,21,Ejecutiva,5836.41,Sí,31567,3328,9,App
M,Misiones,18,Otro,22,Económica,6257.97,Sí,6263,1935,2,Web
F,Córdoba,53,Empleado,18,Económica,5232.63,No,0,1298,9,App
F,Mendoza,29,Empleado,3,Económica,960.91,No,0,1647,3,App
F,Minas Gerais,57,Empleado,5,Económica,429.19,No,0,1003,7,App
M,CABA,47,Docente,22,Económica,2025.46,No,0,2140,9,Web
F,Pernambuco,34,Otro,8,Ejecutiva,5730.45,Sí,17069,1560,2,App
M,Paraná,24,Médico,20,Económica,1928.24,No,0,5180,22,Web
M,Misiones,29,Empleado,3,Económica,772.73,No,0,1294,23,App
M,Los Santos,23,Empleado,6,Económica,1195.53,No,0,1368,18,Web
F,Rio Grande do Sul,63,Jubilado,5,Económica,1487.04,No,0,851,7,Aeropuerto
F,Buenos Aires,39,Ingeniero,5,Económica,1460.84,No,0,3279,75,Web
F,Misiones,51,Abogado,15,Económica,2683.22,Sí,6734,4438,11,Web
M,Córdoba,22,Empleado,23,Económica,4381.67,No,0,2063,36,Web
F,Buenos Aires,40,Médico,18,Ejecutiva,10086.38,No,0,4424,26,Web
F,Mendoza,52,Profesional independiente,18,Ejecutiva,6133.39,No,0,4407,6,Agencia
M,Los Santos,33,Comerciante,21,Económica,3576.1,No,0,1845,23,App
M,Santa Fe,50,Empleado,19,Económica,4981.01,No,0,1162,18,App
M,Tolima,24,Profesional independiente,8,Económica,759.94,No,0,2018,13,Web
F,Mendoza,21,Estudiante,1,Económica,299.83,Sí,636,405,85,App
F,Atlántico,42,Médico,20,Económica,6502.52,Sí,14195,4389,0,App
F,São Paulo,33,Ingeniero,4,Ejecutiva,1459.03,No,0,6123,15,Web
M,Misiones,45,Empleado,18,Económica,3870.83,No,0,1886,28,App
F,CABA,18,Empleado,4,Económica,1485.95,No,0,1514,0,App
M,Pernambuco,46,Empleado,5,Económica,1432.09,No,0,1191,10,App
M,Misiones,69,Jubilado,3,Económica,377.66,No,0,602,32,Aeropuerto
M,Santander,37,Arquitecto,10,Económica,1127.24,No,0,2917,9,Web
F,Buenos Aires,38,Ingeniero,8,Ejecutiva,2313.41,No,0,3805,0,App
M,Mendoza,40,Profesional independiente,15,Económica,3773.88,No,0,2408,72,Web
M,São Paulo,18,Estudiante,2,Económica,518.6,No,0,1117,49,App
M,Cundinamarca,43,Médico,13,Primera clase,23082.27,No,0,7414,10,Web
F,Buenos Aires,18,Empleado,12,Económica,1177.51,No,0,1801,1,Web
M,Nariño,32,Médico,10,Ejecutiva,4567.77,No,0,4674,62,Web
F,Santander,52,Ingeniero,17,Ejecutiva,10322.93,No,0,3218,6,App
F,Santander,50,Otro,21,Económica,3226.06,No,0,6089,8,Agencia
M,Rio de Janeiro,41,Empresario,51,Económica,16175.21,Sí,22583,5207,24,Web
M,Chaco,21,Estudiante,7,Económica,1281.48,No,0,579,55,App
M,CABA,34,Contador,23,Ejecutiva,11090.68,No,0,3818,14,Web
F,Buenos Aires,18,Estudiante,3,Económica,466.94,No,0,469,17,Agencia
F,CABA,34,Deportista,29,Económica,6443.64,Sí,26753,1731,18,Web
F,Veraguas,31,Empleado,1,Económica,282.64,No,0,1940,16,App
F,Rio Grande do Sul,39,Docente,24,Económica,1861.38,Sí,17310,1233,16,Web
M,Pernambuco,46,Comerciante,16,Ejecutiva,3965.79,Sí,27013,1451,20,Agencia
M,Bolívar,57,Arquitecto,18,Ejecutiva,8479.91,No,0,3630,3,Agencia
M,Santander,34,Ejecutivo,72,Económica,15525.48,No,0,4553,1,Web
M,CABA,47,Profesional independiente,13,Ejecutiva,6426.1,No,0,4200,4,App
F,Santa Fe,43,Abogado,2,Ejecutiva,865.53,No,0,6073,18,Web
M,Buenos Aires,43,Ingeniero,1,Económica,291.66,No,0,3061,1,App
M,Cundinamarca,31,Profesional independiente,20,Económica,7426.65,No,0,1770,16,App
M,Veraguas,26,Empleado,11,Económica,3110.41,Sí,4177,2417,5,App
M,Córdoba,24,Profesional independiente,2,Ejecutiva,1075.62,No,0,5083,14,Web
M,Atlántico,28,Médico,17,Ejecutiva,8847.57,No,0,7285,41,Web
M,Misiones,41,Profesional independiente,20,Económica,5983.47,No,0,1772,45,Aeropuerto
M,Chaco,41,Deportista,77,Económica,24329.76,No,0,1235,47,Web
F,Rio de Janeiro,31,Empleado,14,Económica,1797.04,No,0,778,14,Web
F,Los Santos,59,Profesional independiente,21,Económica,6919.43,No,0,1814,40,Web
M,CABA,33,Comerciante,3,Económica,724.39,No,0,2066,15,Web
F,Colón,28,Docente,2,Económica,341.79,No,0,759,26,Web
M,CABA,39,Empleado,4,Económica,620.87,No,0,1408,50,Agencia
F,Chaco,44,Empleado,1,Económica,345.54,No,0,1924,8,Agencia
F,CABA,35,Abogado,5,Ejecutiva,3110.48,No,0,4996,22,Web
F,Rio Grande do Sul,43,Empleado,12,Económica,4449.53,No,0,1270,10,Web
M,Buenos Aires,56,Empleado,23,Económica,4377.83,No,0,1551,6,Agencia
F,Chiriquí,35,Arquitecto,4,Económica,1363.53,Sí,2301,2532,18,Web
M,Santander,39,Abogado,6,Económica,807.44,No,0,2899,2,App
F,Santander,41,Docente,17,Económica,3827.96,No,0,1064,41,App
M,Antioquia,41,Docente,21,Económica,7478.09,Sí,14638,1154,32,Aeropuerto
F,Cundinamarca,21,Estudiante,1,Económica,199.64,No,0,425,48,Web
F,Los Santos,18,Estudiante,3,Económica,680.21,No,0,748,17,Web
F,Valle del Cauca,25,Docente,15,Económica,1732.04,No,0,1837,15,App
M,Salta,40,Profesional independiente,11,Ejecutiva,5326.6,No,0,6670,1,Web
F,Bahia,44,Profesional independiente,13,Económica,2227.57,No,0,2165,3,Agencia
F,Atlántico,31,Docente,6,Económica,732.5,No,0,1046,23,Aeropuerto
F,Atlántico,54,Docente,18,Económica,4932.39,No,0,1308,16,App
M,Cundinamarca,36,Docente,11,Económica,2098.3,No,0,1342,1,App
F,Bolívar,38,Ingeniero,4,Económica,1402.14,No,0,6671,14,Web
M,Colón,35,Profesional independiente,20,Económica,6264.04,Sí,10919,3019,57,Agencia
M,Minas Gerais,39,Otro,19,Económica,3747.68,No,0,1481,16,App
M,Salta,46,Profesional independiente,7,Económica,1635.86,No,0,2028,4,Web
M,Entre Ríos,45,Contador,16,Económica,4499.4,No,0,3460,5,Web
F,Entre Ríos,27,Profesional independiente,19,Económica,3989.21,No,0,2737,13,Web
M,Chaco,56,Médico,25,Económica,2349.31,No,0,3443,0,Agencia
M,Mendoza,24,Médico,23,Ejecutiva,17436.06,No,0,7234,2,App
M,Herrera,38,Docente,1,Económica,220.93,No,0,2177,52,Web
M,Valle del Cauca,34,Empleado,8,Económica,938.22,No,0,3803,12,Aeropuerto
M,Veraguas,37,Otro,13,Económica,4958.18,Sí,12225,1241,53,App
F,Mendoza,29,Profesional independiente,3,Económica,763.78,No,0,2596,0,App
F,Nariño,38,Empleado,21,Económica,6479.83,Sí,8551,1583,32,Web
F,Entre Ríos,42,Contador,13,Económica,3617.05,Sí,15002,2983,17,Web
F,Santa Fe,55,Docente,19,Económica,3580.82,Sí,5523,1108,1,Web
F,Misiones,41,Docente,1,Económica,102.32,No,0,1101,3,Web
M,Rio Grande do Sul,30,Otro,22,Económica,6482.28,No,0,1911,17,Agencia
F,Santa Fe,33,Ingeniero,6,Ejecutiva,3468.98,No,0,7321,4,Web
M,Entre Ríos,39,Empleado,22,Económica,3629.36,No,0,1911,28,Web
F,Valle del Cauca,39,Ingeniero,10,Ejecutiva,3456.53,No,0,4871,9,Web
F,Paraná,55,Otro,21,Económica,4263.0,No,0,3061,0,Web
M,CABA,54,Arquitecto,10,Económica,2921.95,No,0,2756,2,Web
F,Misiones,33,Profesional independiente,4,Económica,1258.48,No,0,2160,5,Agencia
F,Rio de Janeiro,31,Comerciante,19,Económica,1701.15,No,0,994,7,App
M,Salta,18,Estudiante,4,Económica,827.98,No,0,300,8,Agencia
M,Minas Gerais,31,Abogado,5,Ejecutiva,3942.72,No,0,7155,15,Web
M,Bolívar,33,Empleado,17,Económica,2575.99,No,0,1263,4,Agencia
F,Tucumán,42,Empleado,6,Económica,1418.77,No,0,1517,19,Web
M,Tolima,40,Ejecutivo,36,Económica,11608.39,No,0,2171,11,Web
M,Misiones,37,Docente,1,Económica,109.8,No,0,1974,17,Agencia
F,Chaco,40,Empleado,18,Económica,2564.73,No,0,1576,4,Web
M,Salta,36,Docente,22,Económica,6730.6,No,0,1530,83,App
F,Tucumán,40,Profesional independiente,2,Económica,631.42,Sí,692,1404,0,Agencia
F,Los Santos,18,Estudiante,2,Económica,180.0,No,0,364,4,Agencia
F,Chaco,34,Profesional independiente,24,Económica,6212.13,No,0,1707,15,Web
M,São Paulo,36,Ingeniero,5,Económica,1877.3,No,0,3629,13,Agencia
F,Tolima,33,Empleado,18,Económica,1974.05,No,0,2683,24,Web
M,Misiones,35,Comerciante,21,Económica,5118.34,No,0,3030,16,Web
M,Misiones,46,Contador,9,Ejecutiva,3943.96,Sí,14281,3601,18,Agencia
M,Santa Fe,30,Docente,24,Económica,2459.84,No,0,989,3,App
M,Pernambuco,64,Comerciante,5,Económica,1144.41,No,0,2618,12,App
M,Misiones,46,Deportista,62,Ejecutiva,18694.4,No,0,7603,47,Web
M,Minas Gerais,37,Empleado,6,Económica,1333.35,No,0,1641,47,App
F,Paraná,35,Empleado,24,Económica,5857.6,Sí,10285,1777,54,Web
M,Mendoza,36,Profesional independiente,1,Ejecutiva,717.85,No,0,6540,19,App
F,CABA,27,Profesional independiente,6,Económica,1629.84,No,0,2972,32,App
M,Misiones,36,Docente,23,Económica,7013.46,No,0,1977,1,App
M,Entre Ríos,41,Empleado,7,Económica,1591.28,No,0,1859,14,App
F,Misiones,44,Empleado,19,Económica,6542.99,Sí,7575,1738,1,Web
F,Córdoba,34,Profesional independiente,6,Económica,1098.09,Sí,4461,4346,11,Web
F,Cundinamarca,21,Otro,13,Económica,4150.23,No,0,1605,40,Agencia
F,Atlántico,29,Ejecutivo,53,Económica,7296.75,No,0,6879,10,Web
M,Salta,57,Docente,13,Económica,1647.45,Sí,7223,806,13,Web
M,Misiones,48,Docente,23,Ejecutiva,15222.22,No,0,1477,33,Aeropuerto
F,Chiriquí,42,Empresario,37,Ejecutiva,12969.8,No,0,3924,8,Agencia
F,Chaco,28,Profesional independiente,12,Económica,2042.74,No,0,2319,5,App
M,Entre Ríos,38,Arquitecto,2,Ejecutiva,592.61,No,0,5230,18,Aeropuerto
M,Pernambuco,22,Estudiante,3,Económica,857.95,No,0,580,23,Web
F,Panamá,31,Empleado,3,Económica,811.99,No,0,2478,51,App
F,Córdoba,33,Empleado,21,Económica,7458.19,Sí,15286,1354,17,App
F,Mendoza,49,Docente,15,Económica,3090.28,No,0,1113,10,App
M,Salta,20,Empleado,20,Ejecutiva,13572.57,No,0,1568,22,Web
F,Minas Gerais,27,Empresario,39,Económica,10963.0,No,0,7051,3,App
M,Paraná,21,Empleado,13,Económica,1982.55,No,0,719,34,Aeropuerto
F,Los Santos,23,Otro,17,Económica,2123.08,No,0,3103,26,Web
M,Nariño,39,Ingeniero,6,Económica,1192.11,No,0,3997,18,Web
M,Córdoba,18,Estudiante,2,Económica,300.2,No,0,552,57,App
F,Pernambuco,47,Contador,9,Ejecutiva,4118.65,No,0,3756,3,App
M,São Paulo,35,Ejecutivo,20,Económica,6111.52,No,0,2570,23,App
F,Santander,38,Otro,8,Económica,2087.1,No,0,1505,2,Aeropuerto
M,Tucumán,32,Comerciante,14,Primera clase,20179.08,No,0,7056,13,Aeropuerto
F,Tolima,45,Ingeniero,12,Económica,2965.01,No,0,3099,10,Web
F,Atlántico,35,Ejecutivo,18,Económica,4526.39,Sí,16889,1645,23,Web
M,Atlántico,41,Ingeniero,11,Económica,2010.16,No,0,2976,2,Web
F,Valle del Cauca,26,Docente,21,Económica,7071.05,No,0,1835,42,Web
F,Rio de Janeiro,43,Empleado,14,Económica,1854.3,No,0,1789,19,Agencia
F,Pernambuco,34,Empleado,14,Económica,2863.13,No,0,801,4,App
M,Santa Fe,18,Estudiante,2,Económica,763.9,No,0,427,19,App
F,Los Santos,20,Estudiante,3,Económica,254.13,No,0,369,24,Web
F,Buenos Aires,42,Abogado,18,Ejecutiva,13902.65,Sí,38449,8225,12,Agencia
F,Herrera,60,Comerciante,1,Económica,150.2,No,0,2754,17,Agencia
M,Bolívar,29,Docente,21,Ejecutiva,7931.17,No,0,1030,33,App
F,Panamá,18,Empleado,5,Ejecutiva,1797.85,No,0,890,4,Web
M,Santander,37,Profesional independiente,7,Ejecutiva,2684.84,No,0,5420,30,Web
F,Misiones,45,Otro,16,Económica,3753.67,No,0,1250,4,Web
M,Córdoba,39,Empresario,44,Económica,14904.58,No,0,4320,27,App
F,Tolima,38,Empleado,4,Económica,1267.17,No,0,1191,35,Web
M,Salta,73,Comerciante,8,Económica,994.05,No,0,692,31,Web
F,Minas Gerais,37,Contador,8,Económica,1591.39,No,0,2906,31,Web
F,Minas Gerais,36,Ejecutivo,30,Ejecutiva,10942.72,No,0,6666,1,Web
F,Chiriquí,30,Contador,17,Económica,3825.65,No,0,3126,19,Aeropuerto
M,Tolima,49,Otro,3,Económica,588.99,No,0,2199,12,App
M,CABA,33,Comerciante,2,Económica,375.0,No,0,949,3,Agencia
M,Salta,45,Otro,18,Económica,5647.8,No,0,1446,44,App
M,Entre Ríos,41,Otro,11,Económica,2937.88,No,0,2398,9,Web
M,Bahia,52,Médico,19,Económica,4397.12,No,0,6805,6,Web
M,Mendoza,43,Empresario,37,Económica,9072.06,No,0,4674,37,Aeropuerto
F,Entre Ríos,23,Empleado,15,Económica,4434.71,Sí,12968,2055,16,App
M,Cundinamarca,22,Estudiante,2,Económica,574.91,No,0,300,27,Web
F,Tucumán,54,Otro,16,Económica,2579.08,No,0,704,14,Agencia
M,Veraguas,30,Docente,1,Económica,209.6,No,0,1364,16,Web
F,Antioquia,22,Estudiante,1,Económica,201.55,No,0,300,79,App
M,Santa Fe,29,Médico,20,Ejecutiva,5256.18,No,0,2420,8,Agencia
F,Bolívar,53,Empleado,12,Económica,1812.64,No,0,1206,19,App
M,Santander,20,Estudiante,7,Económica,2666.81,No,0,606,42,App
F,Herrera,27,Abogado,23,Económica,5748.41,No,0,5437,0,Web
M,Santa Fe,29,Profesional independiente,12,Económica,4026.73,No,0,1253,27,Aeropuerto
M,Rio de Janeiro,22,Estudiante,2,Económica,154.21,No,0,429,5,App
F,Los Santos,23,Estudiante,3,Económica,420.0,No,0,326,52,Aeropuerto
M,Buenos Aires,19,Estudiante,1,Económica,177.17,No,0,328,20,App
M,Veraguas,32,Profesional independiente,6,Económica,1987.08,No,0,1547,4,App
M,Colón,33,Ingeniero,4,Ejecutiva,2150.72,No,0,3621,2,Web
M,São Paulo,18,Estudiante,3,Económica,897.18,No,0,300,9,App
M,Paraná,53,Empresario,30,Ejecutiva,7883.53,No,0,3574,28,Aeropuerto
M,Mendoza,22,Estudiante,7,Económica,1568.49,No,0,423,35,App
F,Salta,41,Otro,8,Económica,2350.84,No,0,3101,45,App
M,Los Santos,25,Comerciante,10,Económica,2869.58,Sí,10910,3012,8,Web
M,Salta,49,Ingeniero,11,Económica,2791.66,Sí,3927,4115,30,App
M,Buenos Aires,18,Estudiante,4,Económica,1170.33,No,0,479,13,Web
M,Bolívar,46,Otro,7,Económica,665.04,No,0,1180,3,Web
F,Chiriquí,42,Empresario,38,Ejecutiva,23899.85,No,0,3655,14,Agencia
M,Cundinamarca,39,Deportista,42,Económica,7601.86,No,0,2859,1,Agencia
F,Santa Fe,47,Empleado,5,Económica,637.94,No,0,3289,12,Aeropuerto
F,Buenos Aires,47,Empresario,29,Económica,5385.71,Sí,17127,5990,9,Web
F,Buenos Aires,28,Abogado,11,Ejecutiva,3728.56,No,0,7518,28,App
F,Bahia,30,Empleado,21,Económica,3540.93,No,0,1114,49,Agencia
M,Entre Ríos,45,Ingeniero,21,Económica,6057.8,Sí,14876,4565,53,Agencia
F,Buenos Aires,36,Médico,8,Ejecutiva,3149.11,No,0,6158,52,Agencia
F,Chaco,53,Ingeniero,23,Económica,1968.37,No,0,3719,24,App
M,Chaco,29,Empleado,23,Económica,4747.44,Sí,20956,1228,28,App
F,Buenos Aires,47,Comerciante,6,Ejecutiva,4590.86,No,0,1039,30,App
F,Valle del Cauca,42,Contador,9,Económica,2984.48,No,0,3031,30,Web
F,CABA,36,Contador,16,Económica,1896.4,No,0,2489,25,App
F,Santa Fe,52,Ingeniero,6,Económica,1616.37,No,0,2921,20,App
M,Nariño,46,Docente,1,Económica,159.17,Sí,311,1166,98,Aeropuerto
F,Nariño,25,Empleado,8,Ejecutiva,3755.32,No,0,773,2,App
M,Herrera,45,Ejecutivo,48,Ejecutiva,15304.77,No,0,4632,0,Web
M,Nariño,54,Empleado,15,Económica,3821.65,No,0,1091,10,Web
F,CABA,36,Empleado,10,Económica,818.51,No,0,1397,11,Web
No binario,Herrera,35,Empleado,4,Económica,922.59,No,0,961,70,Web
F,Los Santos,29,Profesional independiente,22,Económica,4279.87,No,0,1092,6,Web
F,Tolima,28,Docente,23,Ejecutiva,5400.46,No,0,982,38,App
M,Buenos Aires,21,Estudiante,4,Económica,802.52,No,0,562,13,Web
M,Cundinamarca,33,Comerciante,5,Económica,973.67,No,0,2183,14,Agencia
M,Santander,21,Estudiante,3,Económica,647.51,No,0,377,8,Web
F,Paraná,44,Docente,11,Económica,1255.91,No,0,1474,0,Web
M,São Paulo,32,Otro,19,Económica,3700.66,No,0,977,2,App
M,Santa Fe,18,Estudiante,4,Ejecutiva,1318.95,No,0,334,55,App
M,Colón,33,Otro,20,Económica,4193.27,No,0,1515,3,Aeropuerto
F,Córdoba,35,Ingeniero,22,Ejecutiva,11967.61,No,0,3758,14,Web
M,Santa Fe,43,Profesional independiente,15,Ejecutiva,5874.55,No,0,2913,9,App
F,Córdoba,36,Contador,2,Económica,479.12,No,0,1241,10,Web
M,Santa Fe,60,Docente,14,Económica,3456.03,Sí,8068,1919,4,Agencia
F,Los Santos,31,Profesional independiente,4,Económica,1571.66,No,0,1112,18,Web
F,Santander,37,Médico,8,Ejecutiva,3573.09,No,0,5255,1,App
M,Santa Fe,36,Empleado,17,Económica,1231.46,No,0,1010,20,Agencia
M,Antioquia,34,Empleado,7,Económica,1797.01,Sí,3175,2091,46,Web
F,Córdoba,39,Ejecutivo,56,Económica,15957.7,No,0,6186,13,App
F,Los Santos,44,Abogado,4,Económica,915.51,Sí,1274,5207,39,Web
F,Santander,54,Abogado,23,Económica,6108.94,No,0,6761,17,Web
M,CABA,19,Otro,21,Económica,4578.66,No,0,618,4,App
M,Misiones,31,Otro,22,Económica,4307.61,No,0,1299,25,Web
M,Córdoba,32,Médico,19,Económica,1570.53,No,0,3322,22,Web
F,Santa Fe,49,Comerciante,17,Ejecutiva,10312.97,No,0,2583,4,Web
M,Córdoba,33,Profesional independiente,23,Ejecutiva,6592.95,No,0,6235,20,Agencia
M,Misiones,18,Estudiante,2,Económica,520.25,No,0,445,11,App
F,Pernambuco,39,Ejecutivo,44,Económica,9414.5,No,0,2222,0,Web
F,Salta,37,Empleado,22,Económica,6312.48,No,0,1205,8,App
F,Mendoza,40,Docente,12,Económica,2843.17,No,0,960,22,Agencia
F,Santander,25,Empleado,2,Económica,605.59,No,0,1976,1,Web
No binario,Santa Fe,58,Empleado,9,Económica,2375.94,No,0,1970,47,App
F,São Paulo,34,Profesional independiente,20,Económica,3157.69,No,0,2566,6,Aeropuerto
M,CABA,35,Empleado,18,Económica,4726.96,No,0,1338,6,App
M,Valle del Cauca,27,Empleado,21,Ejecutiva,6021.4,Sí,35381,1194,25,Web
M,Cundinamarca,26,Docente,21,Económica,5607.64,No,0,996,10,App
F,Minas Gerais,23,Estudiante,1,Económica,316.1,No,0,556,12,Web
F,Veraguas,33,Empleado,13,Económica,3750.95,No,0,2712,15,App
M,Herrera,26,Profesional independiente,13,Económica,3725.97,No,0,646,2,App
F,Chaco,62,Empleado,5,Económica,1889.4,Sí,2316,1936,23,Agencia
M,São Paulo,18,Estudiante,7,Económica,1848.12,No,0,538,10,Web
F,CABA,24,Deportista,68,Económica,12460.24,No,0,4525,5,Web
F,Bolívar,46,Otro,10,Económica,952.07,No,0,1998,26,App
F,Tucumán,33,Contador,19,Económica,4568.71,Sí,16648,3565,1,App
F,Rio Grande do Sul,46,Profesional independiente,15,Económica,3755.38,No,0,5045,21,Agencia
F,São Paulo,26,Empleado,13,Económica,2360.01,No,0,946,33,Web
M,Tucumán,58,Profesional independiente,22,Ejecutiva,10445.81,Sí,23134,2734,35,Agencia
F,Valle del Cauca,26,Empleado,19,Económica,5650.65,No,0,697,4,App
F,Herrera,40,Empleado,11,Económica,2798.79,No,0,1822,20,Agencia
M,Paraná,18,Estudiante,2,Económica,508.85,No,0,373,19,App
M,Córdoba,30,Ingeniero,4,Económica,628.63,No,0,4694,40,Web
M,Chiriquí,51,Profesional independiente,22,Económica,3634.74,No,0,3342,3,Agencia
F,Atlántico,39,Profesional independiente,9,Económica,1520.26,No,0,1989,1,Agencia
F,Mendoza,23,Estudiante,2,Económica,394.43,No,0,393,2,Agencia
F,Santa Fe,46,Ingeniero,19,Económica,5391.79,No,0,1759,38,App
M,Buenos Aires,32,Empleado,2,Económica,251.88,No,0,1051,14,Web
F,Córdoba,42,Comerciante,1,Económica,305.75,Sí,1127,4615,21,App
M,Salta,42,Docente,9,Económica,2872.6,Sí,3745,1043,25,Aeropuerto
F,Los Santos,24,Empleado,14,Económica,3550.74,Sí,5224,3180,10,Web
M,Los Santos,47,Ingeniero,21,Económica,6588.99,Sí,17650,4599,18,Aeropuerto
F,Buenos Aires,25,Empleado,14,Económica,3168.34,No,0,1073,0,Web
M,Buenos Aires,22,Estudiante,5,Económica,1341.51,No,0,346,46,Agencia
