id_cliente,sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,gasto_acumulado_extra,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra
462,F,Chaco,55,Empresario,31,Ejecutiva,8745.26,1416.47,Sí,34936,10983,0,Agencia
469,F,Valle del Cauca,49,Ejecutivo,79,Económica,28910.03,6089.2,No,0,2134,8,Web
474,F,Cundinamarca,49,Deportista,78,Económica,13488.61,2849.26,Sí,76199,1722,1,App
478,M,Entre Ríos,47,Empresario,24,Ejecutiva,14889.18,2763.45,Sí,50142,6972,21,Web
487,F,Herrera,50,Arquitecto,15,Primera clase,18505.34,2130.72,No,0,10257,31,App
492,M,Colón,35,Deportista,68,Económica,6850.39,838.53,Sí,55467,4729,0,Agencia
497,M,Panamá,44,Empresario,56,Primera clase,48307.4,6743.77,No,0,7675,1,App
506,M,Córdoba,54,Deportista,87,Económica,19849.66,1285.81,Sí,46048,1293,3,App
508,F,Minas Gerais,31,Empresario,27,Económica,8218.25,859.77,No,0,11958,34,Web
512,F,Córdoba,36,Ejecutivo,60,Primera clase,102484.04,7264.8,Sí,157950,10812,18,Web
515,M,Tucumán,24,Empresario,10,Económica,1672.27,111.62,Sí,6284,22333,39,Web
534,M,CABA,38,Médico,19,Ejecutiva,13138.85,3267.5,No,0,9295,24,Agencia
551,F,Rio de Janeiro,37,Ejecutivo,74,Ejecutiva,30990.96,3984.52,No,0,2722,8,Aeropuerto
557,F,Atlántico,51,Empresario,38,Ejecutiva,28383.69,5053.71,No,0,4975,7,Web
569,F,Buenos Aires,40,Empresario,27,Ejecutiva,21467.15,4650.98,No,0,15657,5,Agencia
575,M,CABA,53,Deportista,80,Económica,21014.99,1401.26,Sí,55000,870,48,Aeropuerto
596,M,Atlántico,41,Ejecutivo,36,Primera clase,81703.81,13523.61,No,0,8621,7,Agencia
597,F,Mendoza,30,Empresario,28,Ejecutiva,15233.0,1958.8,Sí,44329,4857,4,App
608,F,Santander,24,Abogado,20,Primera clase,17875.72,2375.74,Sí,33537,8514,6,Web
611,M,Atlántico,41,Empresario,55,Ejecutiva,19871.28,981.41,No,0,16851,2,Web
615,No binario,Panamá,44,Médico,14,Ejecutiva,7151.8,1549.82,No,0,8816,1,App
616,F,São Paulo,33,Arquitecto,24,Ejecutiva,11039.84,1798.67,No,0,9498,8,App
617,M,Valle del Cauca,32,Profesional independiente,16,Primera clase,26041.96,2370.52,Sí,58231,4222,12,Agencia
624,M,Tolima,35,Deportista,98,Económica,17313.96,3471.27,Sí,62330,4900,2,Web
627,F,Santander,28,Empresario,45,Ejecutiva,16278.15,987.69,Sí,81013,3688,16,Agencia
632,F,Veraguas,34,Deportista,67,Económica,22820.55,1755.63,Sí,39165,2205,16,Aeropuerto
640,F,Santander,47,Deportista,80,Primera clase,103180.27,10263.91,Sí,166199,6037,1,Web
641,F,Nariño,56,Médico,28,Primera clase,61877.68,9911.37,Sí,67795,7017,25,Aeropuerto
649,F,Bolívar,32,Empresario,23,Ejecutiva,11550.06,1594.93,No,0,11216,10,App
656,F,Buenos Aires,36,Deportista,69,Primera clase,94655.61,7960.64,Sí,148060,10547,17,Web
674,F,Minas Gerais,33,Ingeniero,21,Primera clase,55393.62,9771.01,No,0,5614,6,Web
675,F,Tolima,38,Empresario,13,Ejecutiva,6259.07,532.68,No,0,29410,17,App
679,M,Tucumán,48,Empresario,54,Ejecutiva,40982.81,6244.93,Sí,51531,2918,0,Web
681,M,Córdoba,48,Deportista,94,Económica,27868.86,3334.37,Sí,61389,3234,1,Web
693,M,Nariño,37,Ejecutivo,60,Ejecutiva,37485.01,2802.27,No,0,5664,6,App
716,F,Rio Grande do Sul,41,Ejecutivo,73,Ejecutiva,27978.59,5873.64,Sí,109212,7789,23,Web
718,F,Minas Gerais,30,Deportista,77,Primera clase,177254.22,8844.12,Sí,356412,3699,9,Web
721,F,Cundinamarca,48,Comerciante,20,Ejecutiva,11919.85,777.74,Sí,39176,4273,23,Aeropuerto
744,M,Chaco,36,Médico,18,Ejecutiva,9453.83,2225.26,No,0,10611,34,Agencia
770,M,Bolívar,24,Comerciante,19,Primera clase,33231.95,5441.88,No,0,5241,37,App
778,F,Santander,39,Empresario,58,Ejecutiva,27959.98,5143.46,No,0,4541,2,App
797,F,Misiones,48,Médico,26,Primera clase,41089.48,5654.14,Sí,63829,7495,35,App
803,M,Minas Gerais,26,Abogado,23,Económica,4910.42,1045.79,No,0,9355,20,Aeropuerto
804,M,Tucumán,40,Empresario,42,Económica,10855.85,2040.02,No,0,15656,3,Web
807,M,Veraguas,43,Ejecutivo,58,Ejecutiva,40911.63,7207.39,No,0,7348,18,Agencia
820,M,Los Santos,32,Ejecutivo,71,Primera clase,157927.75,17505.88,Sí,155256,19015,2,Web
830,F,Entre Ríos,50,Ejecutivo,74,Ejecutiva,59016.18,7163.97,Sí,152445,3661,3,App
839,F,Misiones,35,Empresario,54,Económica,7166.08,1632.18,Sí,25481,9572,1,Web
841,M,Antioquia,38,Deportista,35,Primera clase,28128.06,4281.39,No,0,8572,41,App
847,F,Mendoza,31,Empresario,36,Ejecutiva,26677.57,5035.85,Sí,95830,9732,42,Web
888,M,Tucumán,38,Empresario,20,Ejecutiva,10002.57,1777.16,No,0,13054,16,App
924,M,Mendoza,34,Deportista,50,Ejecutiva,28698.05,2631.23,Sí,138880,3651,17,Agencia
925,M,Mendoza,38,Ejecutivo,37,Primera clase,46936.9,5128.44,No,0,10453,0,App
939,F,Santander,34,Empresario,15,Ejecutiva,5571.19,829.4,No,0,13259,20,Aeropuerto
940,M,Buenos Aires,50,Ejecutivo,73,Económica,26480.91,1294.76,No,0,4087,1,Web
942,F,Santa Fe,29,Deportista,85,Económica,15507.36,1321.6,Sí,60349,486,29,App
976,M,Córdoba,43,Empresario,59,Económica,20005.39,3840.65,Sí,42050,8558,8,Web
977,No binario,Entre Ríos,38,Ingeniero,15,Primera clase,8038.38,1059.1,Sí,60638,4133,3,App
996,F,Chaco,45,Ejecutivo,39,Ejecutiva,13365.76,2255.88,Sí,34117,8606,0,App
999,F,Tucumán,43,Empresario,47,Ejecutiva,19007.56,2693.81,Sí,38896,14597,3,Web
1001,M,Misiones,29,Médico,7,Primera clase,14783.08,1500.8,No,0,10357,6,Web
1004,F,Salta,26,Ejecutivo,59,Ejecutiva,31822.57,2342.51,No,0,9349,13,Agencia
1005,F,Bahia,43,Contador,16,Primera clase,10419.82,1565.87,Sí,46955,3532,14,Web
1021,F,Entre Ríos,33,Empresario,49,Económica,9943.58,551.7,Sí,42801,3466,22,Web
1031,M,CABA,51,Médico,7,Primera clase,13770.99,2586.65,No,0,9709,1,Web
1046,F,Salta,41,Deportista,67,Ejecutiva,22323.9,1296.61,No,0,13271,51,App
1050,F,Córdoba,41,Médico,27,Ejecutiva,7399.21,960.55,Sí,71043,6686,17,App
1061,F,Pernambuco,53,Deportista,85,Económica,13980.81,2544.71,Sí,60399,2456,27,Web
1064,F,Antioquia,37,Empresario,59,Ejecutiva,42473.05,6539.01,Sí,58533,7674,4,Web
1080,M,Nariño,55,Abogado,3,Primera clase,6210.14,563.1,No,0,10106,24,App
1090,M,Entre Ríos,36,Ejecutivo,47,Ejecutiva,27238.84,3949.37,No,0,10057,5,App
1106,M,Valle del Cauca,39,Médico,23,Primera clase,34105.78,7766.23,Sí,82864,11355,4,App
1107,F,Chiriquí,43,Médico,20,Ejecutiva,10253.91,893.23,Sí,52032,5395,6,Web
1110,F,Chaco,39,Profesional independiente,16,Primera clase,27833.32,3622.25,Sí,33838,5524,6,Web
1122,M,Mendoza,43,Ejecutivo,72,Ejecutiva,22695.11,3039.62,Sí,206724,6817,6,Web
1142,M,Colón,45,Abogado,23,Primera clase,20416.71,2497.19,Sí,74024,7465,5,App
1146,F,Santa Fe,50,Empresario,54,Ejecutiva,30452.31,1988.45,Sí,55030,5275,17,Web
1148,M,Tolima,31,Empresario,15,Ejecutiva,8917.79,2047.34,No,0,29111,13,Web
1167,M,Veraguas,59,Ejecutivo,55,Primera clase,59535.35,4984.69,No,0,10302,6,Web
1188,F,Herrera,30,Ejecutivo,77,Primera clase,72002.18,15099.29,No,0,7746,1,Web
1195,F,Salta,47,Ejecutivo,26,Ejecutiva,14217.52,3488.02,Sí,58930,4471,10,App
1201,M,Misiones,51,Comerciante,23,Ejecutiva,15109.31,974.03,Sí,47172,8391,5,Web
1209,F,Veraguas,42,Ejecutivo,61,Ejecutiva,39125.07,5906.78,Sí,59748,4955,21,Web
1210,M,Córdoba,29,Ejecutivo,53,Económica,11549.11,2223.13,Sí,43026,5011,1,App
1222,F,Pernambuco,37,Ejecutivo,47,Ejecutiva,20059.12,1376.99,Sí,55604,10536,3,Web
1227,M,Antioquia,34,Empresario,26,Ejecutiva,21423.92,4391.7,Sí,59581,9325,35,App
1246,F,Córdoba,25,Ejecutivo,65,Económica,17838.82,1206.08,Sí,48503,6914,1,App
1248,F,Atlántico,29,Deportista,27,Primera clase,61367.68,5204.04,No,0,18172,2,Aeropuerto
1268,M,Paraná,45,Ejecutivo,73,Económica,20629.89,2644.47,Sí,40714,3491,0,Web
1278,F,Mendoza,51,Empresario,26,Primera clase,24034.08,2474.79,Sí,83069,12321,26,App
1284,M,Bahia,57,Empresario,22,Ejecutiva,12912.58,616.71,Sí,24532,14996,0,App
1307,F,Rio de Janeiro,49,Empresario,21,Ejecutiva,8855.58,1760.73,Sí,47715,6180,29,App
1322,M,São Paulo,52,Empresario,49,Ejecutiva,19651.08,1208.31,Sí,55161,9281,0,App
1333,M,Tucumán,33,Ingeniero,13,Ejecutiva,8140.82,969.85,No,0,9030,13,Web
1345,F,Córdoba,35,Empresario,25,Ejecutiva,16628.03,2290.63,No,0,12970,14,App
1349,F,Buenos Aires,28,Empresario,13,Ejecutiva,9848.2,1260.52,Sí,22494,12793,21,Web
1351,M,Colón,38,Abogado,8,Primera clase,17614.23,829.39,No,0,9093,68,App
1356,M,Antioquia,43,Ejecutivo,63,Primera clase,143509.43,13494.42,Sí,112839,8843,5,Web
1359,F,Valle del Cauca,40,Médico,28,Primera clase,57459.51,3380.15,No,0,8956,25,App
1374,M,Cundinamarca,44,Médico,23,Ejecutiva,10456.93,601.48,No,0,8334,7,Web
1409,M,Córdoba,45,Ejecutivo,74,Primera clase,59390.48,7254.0,No,0,5138,13,App
1414,F,Salta,36,Empresario,27,Ejecutiva,18359.25,3642.17,No,0,9110,3,Web
1417,M,Mendoza,48,Ejecutivo,21,Económica,6418.38,1133.38,Sí,18929,21086,5,Web
1428,F,Mendoza,40,Empresario,51,Primera clase,48842.79,3174.55,Sí,205955,7078,28,Web
1433,M,Atlántico,36,Empresario,42,Ejecutiva,16770.72,3521.35,Sí,74466,5876,1,Web
1439,F,Córdoba,34,Deportista,98,Económica,17116.62,3243.17,Sí,90952,5947,10,Web
1442,M,Chaco,39,Ejecutivo,32,Ejecutiva,26367.13,6089.42,Sí,50917,5296,3,Web
1445,F,CABA,31,Ingeniero,18,Económica,3593.11,575.05,No,0,13569,6,Web
1446,F,Valle del Cauca,32,Ingeniero,13,Primera clase,28930.67,5208.77,No,0,4217,18,Agencia
1452,F,Misiones,35,Empresario,39,Primera clase,86053.52,6264.22,Sí,145956,4533,6,Web
1457,F,Santander,38,Ejecutivo,69,Económica,16879.45,1999.91,Sí,72898,4729,3,Web
1477,M,Valle del Cauca,60,Empresario,12,Ejecutiva,7215.08,1400.27,Sí,13326,11201,1,Aeropuerto
1491,F,Tucumán,36,Empresario,59,Ejecutiva,20208.16,4029.43,Sí,83466,16663,6,App
1506,F,Misiones,29,Empresario,42,Ejecutiva,14078.58,3392.47,Sí,102008,15314,48,Web
1526,F,Salta,46,Ejecutivo,65,Primera clase,108736.72,24719.95,No,0,5129,0,App
1527,M,São Paulo,41,Ejecutivo,69,Económica,6428.06,269.45,No,0,9053,5,App
1547,M,Salta,24,Ejecutivo,33,Ejecutiva,21738.28,1381.8,Sí,91520,7382,5,App
1550,F,Antioquia,26,Empresario,56,Económica,12905.91,1352.5,Sí,59162,5258,1,Web
1563,F,Rio Grande do Sul,42,Empresario,48,Económica,10945.26,1287.79,Sí,45912,3590,22,Web
1572,M,Santa Fe,45,Médico,21,Ejecutiva,13815.81,1174.67,No,0,12343,5,Web
1579,F,Córdoba,37,Empresario,26,Ejecutiva,19393.1,1787.05,No,0,13109,1,Web
1583,M,CABA,44,Abogado,21,Primera clase,44851.66,6145.57,No,0,5433,8,Web
1585,F,Atlántico,33,Deportista,48,Económica,9738.93,2105.84,Sí,44749,603,65,Web
1591,F,Nariño,40,Deportista,75,Económica,21133.09,2942.05,Sí,70721,2041,77,Web
1604,F,Rio de Janeiro,44,Deportista,46,Ejecutiva,27988.02,5822.68,No,0,7268,14,Web
1609,F,CABA,55,Ejecutivo,18,Ejecutiva,6997.7,1099.6,No,0,10524,3,App
1617,M,São Paulo,31,Ejecutivo,53,Ejecutiva,38596.26,3661.18,No,0,3710,2,Web
1623,F,CABA,33,Ejecutivo,78,Ejecutiva,47688.12,5187.61,Sí,89162,2771,6,Agencia
1635,F,Misiones,29,Ejecutivo,78,Ejecutiva,41180.31,7559.74,Sí,126887,6036,13,App
1645,M,Santa Fe,36,Ejecutivo,39,Ejecutiva,18375.7,4187.49,Sí,93203,2419,29,Web
1655,M,Panamá,43,Deportista,87,Ejecutiva,46614.59,2202.12,Sí,65418,6406,0,Web
1664,M,Atlántico,35,Deportista,61,Primera clase,139807.79,20658.93,Sí,153278,350075,43,Agencia
1685,M,Minas Gerais,38,Deportista,88,Económica,21511.69,956.62,Sí,57384,1782,15,App
1690,F,Panamá,36,Deportista,21,Económica,5308.7,731.53,No,0,15327,1,Web
1701,F,Panamá,42,Ejecutivo,74,Ejecutiva,29412.54,4833.42,No,0,4665,6,App
1709,M,Paraná,50,Empresario,10,Primera clase,26479.67,2604.25,No,0,5072,11,Aeropuerto
1723,M,Rio de Janeiro,24,Ejecutivo,72,Ejecutiva,32429.45,6320.43,No,0,5490,5,Web
1729,M,Entre Ríos,41,Ejecutivo,37,Ejecutiva,20108.81,4414.67,Sí,77442,6876,8,App
1746,F,Herrera,26,Arquitecto,8,Ejecutiva,3315.84,812.28,No,0,10394,26,App
1748,M,Valle del Cauca,45,Deportista,85,Ejecutiva,27155.94,2920.79,No,0,318,7,Web
1758,F,Entre Ríos,25,Deportista,30,Económica,6200.96,1219.21,No,0,10525,25,App
1763,F,Chiriquí,43,Médico,21,Ejecutiva,11809.34,1545.65,No,0,17199,75,Web
1772,M,Minas Gerais,54,Empresario,56,Ejecutiva,37216.62,2081.74,No,0,3114,13,Web
1778,M,Tucumán,34,Empresario,58,Ejecutiva,39784.98,6240.55,No,0,7361,1,Agencia
1783,M,Misiones,57,Ejecutivo,23,Ejecutiva,15936.63,3036.8,Sí,43988,8846,3,Web
1788,F,Santa Fe,42,Profesional independiente,9,Ejecutiva,4929.97,1176.63,No,0,11374,16,App
1796,F,Córdoba,37,Ejecutivo,72,Ejecutiva,31721.17,4026.97,Sí,178798,3992,5,Web
1800,M,Nariño,30,Contador,18,Primera clase,38877.82,2434.76,Sí,48681,4882,6,App
1814,F,Herrera,26,Abogado,2,Económica,438.72,84.52,No,0,8726,1,Web
1816,F,São Paulo,56,Empresario,29,Primera clase,24873.62,5044.39,No,0,5193,13,Agencia
1826,F,Rio Grande do Sul,40,Empresario,24,Primera clase,48978.34,9849.97,Sí,109359,7290,20,App
1838,M,Atlántico,26,Médico,18,Ejecutiva,6150.37,1081.43,Sí,42361,5501,25,App
1839,M,Entre Ríos,48,Abogado,19,Ejecutiva,5651.03,428.84,Sí,50013,7131,9,App
1843,F,Santa Fe,57,Empresario,35,Primera clase,80844.47,10164.32,Sí,65278,10828,17,Aeropuerto
1846,No binario,CABA,54,Empresario,58,Económica,6080.12,690.11,Sí,43292,3387,8,App
1851,M,Chaco,42,Médico,10,Ejecutiva,3577.09,727.84,Sí,9362,8385,3,App
1866,M,Córdoba,61,Ejecutivo,69,Primera clase,91722.96,11472.42,No,0,16662,1,Aeropuerto
1875,M,Santander,27,Ejecutivo,59,Ejecutiva,25120.82,2476.44,Sí,44463,6452,8,App
1876,M,Santa Fe,40,Empresario,39,Primera clase,94842.5,7852.67,No,0,7270,14,Web
1895,F,Buenos Aires,38,Ejecutivo,19,Ejecutiva,12399.95,2015.15,No,0,10624,7,App
1907,M,Córdoba,27,Empresario,41,Primera clase,50041.36,8195.54,Sí,101980,12918,13,Agencia
1915,M,Tucumán,49,Empresario,57,Ejecutiva,49281.19,4468.77,Sí,72525,7162,0,Agencia
1928,M,Misiones,48,Ejecutivo,38,Económica,4682.84,700.71,Sí,10457,11133,14,Web
1947,F,Entre Ríos,25,Ejecutivo,21,Primera clase,24262.2,5261.5,Sí,76267,12411,1,App
1957,F,Entre Ríos,49,Ejecutivo,73,Ejecutiva,27945.61,5327.25,No,0,6053,6,Web
1961,F,Mendoza,32,Médico,18,Primera clase,34694.2,6689.81,No,0,7881,6,Web
1966,M,Chaco,37,Ejecutivo,52,Ejecutiva,15897.38,2908.2,Sí,114385,3531,2,Web
1986,M,Chiriquí,46,Médico,14,Primera clase,31125.72,4869.43,No,0,13673,42,App
1987,F,Herrera,35,Ejecutivo,33,Ejecutiva,13420.55,1098.16,No,0,10085,3,Agencia
2000,F,Valle del Cauca,38,Empresario,14,Primera clase,26361.83,4804.28,No,0,6740,19,Web
2021,F,Misiones,57,Profesional independiente,9,Primera clase,18205.54,3304.68,No,0,13593,0,App
2022,F,Tucumán,31,Médico,15,Primera clase,32412.57,5096.77,Sí,39003,4529,12,Web
2025,M,CABA,45,Médico,22,Económica,3725.44,282.97,No,0,9791,24,Agencia
2031,M,Entre Ríos,43,Empresario,56,Ejecutiva,21656.93,5292.6,Sí,117483,1754,19,Web
2036,M,Nariño,39,Ejecutivo,27,Económica,4498.41,234.82,Sí,21117,9187,3,App
2037,M,Mendoza,26,Ingeniero,24,Primera clase,24840.27,2851.59,No,0,7144,93,Web
2053,F,Nariño,38,Empresario,40,Ejecutiva,20738.75,1173.52,No,0,13309,20,Web
2058,M,Córdoba,39,Empresario,20,Primera clase,19627.52,4730.95,No,0,9892,5,Aeropuerto
2076,F,Córdoba,35,Empresario,52,Ejecutiva,41927.73,5252.82,Sí,102119,5842,19,Agencia
2081,F,Tolima,29,Deportista,34,Ejecutiva,14566.09,1290.02,Sí,31949,26176,0,Agencia
2086,F,Atlántico,39,Deportista,28,Ejecutiva,13926.52,3256.97,Sí,45824,6022,11,App
2096,M,Minas Gerais,59,Ejecutivo,55,Ejecutiva,34654.41,2114.34,No,0,7665,4,App
2101,M,Misiones,30,Ejecutivo,46,Económica,15017.67,3372.21,Sí,39107,1726,32,Aeropuerto
2114,M,Pernambuco,48,Deportista,47,Ejecutiva,26804.93,1812.22,Sí,104407,761,13,Web
2122,F,Buenos Aires,44,Ejecutivo,55,Primera clase,99193.55,14064.34,No,0,4867,0,Agencia
2126,F,CABA,61,Empresario,50,Ejecutiva,19216.35,2021.59,Sí,101204,6957,9,Web
2131,F,Antioquia,36,Abogado,12,Primera clase,28487.03,7071.06,Sí,51230,4540,13,Aeropuerto
2154,M,Valle del Cauca,36,Empresario,29,Primera clase,22309.26,5352.06,Sí,59353,8355,2,Agencia
2156,M,Paraná,30,Empresario,47,Primera clase,98797.66,19997.56,No,0,16076,1,Web
2166,M,Chaco,43,Ingeniero,23,Económica,3304.95,643.58,Sí,19569,8490,40,App
2174,F,Entre Ríos,31,Deportista,49,Primera clase,125365.39,5088.95,Sí,169613,8809,28,Agencia
2178,F,São Paulo,36,Contador,20,Primera clase,31438.22,5309.99,Sí,105699,3781,22,Web
2185,F,Valle del Cauca,35,Empresario,54,Ejecutiva,29215.24,6629.29,No,0,5841,148,Web
2223,M,Valle del Cauca,31,Ejecutivo,31,Primera clase,71774.59,6707.08,Sí,102369,6271,4,App
2230,F,Cundinamarca,39,Ejecutivo,27,Primera clase,34095.68,8249.98,No,0,8664,0,App
2235,M,Salta,40,Médico,11,Primera clase,26211.87,5143.0,No,0,4746,48,Web
2238,M,Misiones,58,Empresario,46,Económica,6157.36,967.52,Sí,45529,2297,4,Web
2243,F,Mendoza,52,Abogado,22,Ejecutiva,6673.51,901.06,No,0,9522,1,Web
2246,M,Valle del Cauca,31,Ejecutivo,29,Ejecutiva,8855.33,2103.67,Sí,45639,5148,5,Aeropuerto
2252,M,Chaco,45,Empresario,23,Económica,6909.12,1037.06,No,0,26718,6,Web
2256,M,Paraná,35,Médico,16,Ejecutiva,5280.23,768.28,No,0,8477,38,App
2272,M,Santa Fe,28,Ejecutivo,68,Ejecutiva,19891.58,1599.72,No,0,11477,1,App
2282,F,Santander,44,Médico,6,Primera clase,13904.38,3031.89,No,0,9334,76,Web
2300,M,Tucumán,47,Empresario,49,Económica,5072.77,461.42,Sí,47906,2492,1,Web
2319,M,Antioquia,38,Ejecutivo,52,Ejecutiva,36103.57,2119.94,No,0,4107,6,App
2344,M,Misiones,29,Empresario,19,Económica,6841.65,1653.77,No,0,9014,29,App
2345,F,Córdoba,49,Ejecutivo,59,Ejecutiva,28459.01,4211.5,Sí,119983,11200,2,Agencia
2349,M,Paraná,44,Ejecutivo,79,Ejecutiva,40860.73,8798.42,No,0,4152,10,App
2354,M,CABA,42,Deportista,92,Económica,14341.61,1615.97,Sí,50351,907,6,App
2366,M,Santander,27,Ejecutivo,59,Primera clase,73082.33,4502.97,No,0,12370,13,App
2367,F,Paraná,40,Empresario,16,Primera clase,12238.84,1907.65,Sí,69256,3806,1,Web
2370,M,Bolívar,48,Ejecutivo,62,Ejecutiva,42662.18,8914.35,No,0,6933,1,Web
2371,F,CABA,40,Ejecutivo,54,Ejecutiva,28605.75,2511.44,No,0,2644,27,App
2372,F,Paraná,30,Ejecutivo,57,Ejecutiva,28836.57,6946.54,Sí,84756,11513,14,App
2383,M,Entre Ríos,33,Empresario,24,Primera clase,41764.97,6713.07,No,0,20447,3,Agencia
2385,F,Panamá,42,Ejecutivo,77,Primera clase,122165.21,25203.14,No,0,8394,42,Agencia
2398,F,Entre Ríos,45,Deportista,90,Económica,25479.04,3873.88,Sí,76520,821,71,Web
2418,F,Santa Fe,43,Empresario,50,Ejecutiva,26368.26,2119.9,Sí,52483,6525,18,Web
2426,F,Rio Grande do Sul,38,Empresario,54,Económica,16585.26,3423.64,Sí,54094,3479,7,Aeropuerto
2445,M,Los Santos,56,Ejecutivo,37,Ejecutiva,32112.64,1411.63,Sí,68236,3877,11,Web
2454,F,Bolívar,35,Empresario,47,Ejecutiva,19021.25,1576.16,Sí,69957,6406,3,App
2481,M,CABA,45,Deportista,41,Económica,11081.51,994.56,No,0,16243,7,Agencia
2482,M,Antioquia,42,Empresario,47,Ejecutiva,32414.81,5345.06,No,0,16654,7,Aeropuerto
2485,F,Chaco,39,Ejecutivo,65,Económica,19037.03,2747.8,Sí,54595,1738,7,Agencia
2510,F,Misiones,51,Empresario,54,Primera clase,94922.97,15675.81,Sí,181078,11825,21,App
